table_id;column_id;label_id;label
1_aviation_table;0;123;самолет
1_aviation_table;1;108;производитель
1_aviation_table;2;101;примечание
2_aviation_table;0;123;самолет
2_aviation_table;1;42;изображение
2_aviation_table;2;80;описание
2_aviation_table;3;22;год
2_aviation_table;4;108;производитель
2_aviation_table;5;52;количество
3_aviation_table;0;123;самолет
3_aviation_table;1;42;изображение
3_aviation_table;2;149;тип
3_aviation_table;3;26;дата
3_aviation_table;4;52;количество
3_aviation_table;5;22;год
3_aviation_table;6;101;примечание
4_aviation_table;0;123;самолет
4_aviation_table;1;42;изображение
4_aviation_table;2;141;страна
4_aviation_table;3;52;количество
4_aviation_table;4;80;описание
4_aviation_table;5;101;примечание
5_aviation_table;0;123;самолет
5_aviation_table;1;42;изображение
5_aviation_table;2;141;страна
5_aviation_table;3;52;количество
5_aviation_table;4;80;описание
5_aviation_table;5;101;примечание
1_motorsports_table;0;39;идентификатор
1_motorsports_table;1;91;пилот
1_motorsports_table;2;132;спортсмен
1_motorsports_table;3;47;класс
1_motorsports_table;4;54;команда
1_motorsports_table;5;1;автомобиль
1_motorsports_table;6;46;категория
2_motorsports_table;0;94;позиция
2_motorsports_table;1;91;пилот
2_motorsports_table;2;132;спортсмен
2_motorsports_table;3;54;команда
2_motorsports_table;4;1;автомобиль
2_motorsports_table;5;47;класс
2_motorsports_table;6;104;продолжительность
2_motorsports_table;7;137;статистика
2_motorsports_table;8;118;результат
3_motorsports_table;0;138;статус
3_motorsports_table;1;91;пилот
3_motorsports_table;2;132;спортсмен
3_motorsports_table;3;54;команда
3_motorsports_table;4;1;автомобиль
3_motorsports_table;5;47;класс
3_motorsports_table;6;118;результат
4_motorsports_table;0;28;день
4_motorsports_table;1;138;статус
4_motorsports_table;2;23;гонка
4_motorsports_table;3;117;расстояние
4_motorsports_table;4;91;пилот
4_motorsports_table;5;1;автомобиль
4_motorsports_table;6;104;продолжительность
4_motorsports_table;7;91;пилот
5_motorsports_table;0;91;пилот
5_motorsports_table;1;138;статус
6_motorsports_table;0;116;ранг
6_motorsports_table;1;91;пилот
6_motorsports_table;2;1;автомобиль
6_motorsports_table;3;104;продолжительность
6_motorsports_table;4;94;позиция
7_motorsports_table;0;
7_motorsports_table;1;116;ранг
7_motorsports_table;2;91;пилот
7_motorsports_table;3;94;позиция
8_motorsports_table;0;116;ранг
8_motorsports_table;1;108;производитель
8_motorsports_table;2;94;позиция
1_buildings_table;0;37;здание
1_buildings_table;1;22;год
1_buildings_table;2;128;создатель
1_buildings_table;3;2;адрес
1_buildings_table;4;
1_buildings_table;5;101;примечание
1_buildings_table;6;133;ссылка
2_buildings_table;0;37;здание
2_buildings_table;1;22;год
2_buildings_table;2;22;год
2_buildings_table;3;128;создатель
2_buildings_table;4;2;адрес
2_buildings_table;5;101;примечание
2_buildings_table;6;133;ссылка
2_buildings_table;7;
3_buildings_table;0;39;идентификатор
3_buildings_table;1;22;год
3_buildings_table;2;52;количество
3_buildings_table;3;37;здание
4_buildings_table;0;97;порядок
4_buildings_table;1;
4_buildings_table;2;37;здание
4_buildings_table;3;128;создатель
4_buildings_table;4;22;год
4_buildings_table;5;101;примечание
5_buildings_table;0;97;порядок
5_buildings_table;1;
5_buildings_table;2;37;здание
5_buildings_table;3;128;создатель
5_buildings_table;4;22;год
5_buildings_table;5;80;описание
6_buildings_table;0;156;университет
6_buildings_table;1;156;университет
6_buildings_table;2;26;дата
6_buildings_table;3;87;период
7_buildings_table;0;37;здание
7_buildings_table;1;
7_buildings_table;2;26;дата
7_buildings_table;3;66;место
7_buildings_table;4;128;создатель
7_buildings_table;5;26;дата
7_buildings_table;6;127;событие
7_buildings_table;7;80;описание
8_buildings_table;0;136;станция
8_buildings_table;1;141;страна
8_buildings_table;2;52;количество
8_buildings_table;3;52;количество
1_astronomy_table;0;73;название
