Тип|Изображение|Разработчик|Количество|Примечания|Unnamed: 5_level_0
Вертолёты-разведчики|Вертолёты-разведчики|Вертолёты-разведчики|Вертолёты-разведчики|Вертолёты-разведчики|Вертолёты-разведчики
Z-18Y||Китай|~8|Вертолёт радиолокационного дозора и управления, базирующийся на авианосцах[70]. Военная производная от гражданского вертолёта Avicopter AC313.|
Ка-31||СССР|9[72]|Вертолёт радиолокационного дозора и управления, устанавливаемый на флагманы корабельных групп, например на эсминцы[77].|
AR-500C||Китай|Нет данных|Разведывательный беспилотный вертолёт. Макет предположительно этого вертолёта замечен на палубе универсального десантного корабля типа 075[78].|
Противолодочные вертолёты.|Противолодочные вертолёты.|Противолодочные вертолёты.|Противолодочные вертолёты.|Противолодочные вертолёты.|Противолодочные вертолёты.
Z-18F||Китай|~12|Тяжёлый противолодочный вертолёт, размещаемый на авианосцах[70].|
Z-20F||Китай|Нет данных|Средний противолодочный вертолёт[79].|
Ка-28||Россия|19[72]|Средний противолодочный вертолёт.|
Z-9C||Китай|25[76][72]|Лёгкий многоцелевой вертолёт с упором на противолодочные операции.|
Прочие вертолёты|Прочие вертолёты|Прочие вертолёты|Прочие вертолёты|Прочие вертолёты|Прочие вертолёты
Z-8||Китай|27[80][72]|20 Z-8/Z-8A, 4 Z-8JH, 2 Z-8S[72]|
Z-20J или Z-20H, или Z-20S||Китай|Нет данных|Многоцелевой вертолёт[79].|
Z-9D||Китай|Нет данных|Вертолёт, оснащённый РЛС и противокорабельными ракетами[81].|
