Страна|"'""`UNIQ--templatestyles-00000005-QINU`""'Мощность, МВт[5]"|Выработка, ГВт·ч[5]|Доля[5]|Блоков[5]
Аргентина|||5,9 %|3
Армения|||27,8 %|1
Бельгия|||47,6 %|7
Болгария|||37,5 %|2
Бразилия|||2,7 %|2
Великобритания|||15,6 %|15
Венгрия|||49,2 %|4
Германия|||11,6 %|8
Индия|||3,2 %|22
Иран|||1,8 %|1
Испания|||21,4 %|7
Канада|||14,9 %|19
Китай|||4,9 %|48
Мексика|||4,5 %|2
Нидерланды|||3,2 %|1
Пакистан|||6,6 %|5
Россия|||19,7 %|39
Румыния|||18,5 %|2
Словакия|||53,9 %|4
Словения|||37 %|1
США|||19,7 %|98
Тайвань|||13,4 %|5
Украина|||53,9 %|15
Финляндия|||34,7 %|4
Франция|||70,6 %|58
Чехия|||35,2 %|6
Швейцария|||23,9 %|5
Швеция|||34 %|8
ЮАР|||6,7 %|2
Южная Корея|||26,2 %|25
Япония|||7,5 %|38
В мире|392 779|2 586 163,02|10,9 %[6]|449
