№|Название|Область|Население
1|Рим|Лацио|2869461
2|Милан|Ломбардия|1324169
3|Неаполь|Кампания|989111
4|Турин|Пьемонт|902137
5|Палермо|Сицилия|678492
6|Генуя|Лигурия|596958
7|Болонья|Эмилия-Романья|384202
8|Флоренция|Тоскана|377207
9|Бари|Апулия|322751
10|Катания|Сицилия|315576
11|Венеция|Венеция|264534
12|Верона|Венеция|259966
13|Мессина|Сицилия|241997
14|Падуя|Венеция|209678
15|Триест|Фриули — Венеция-Джулия|204849
16|Таранто|Апулия|203257
17|Брешиа|Ломбардия|193599
18|Прато|Тоскана|191268
19|Парма|Эмилия-Романья|187938
20|Реджо-ди-Калабрия|Калабрия|184937
