Свойство|Значение[9]
Цвет (газ)|Жёлто-зелёный
Температура кипения|−34 °C
Температура плавления|−100 °C
Температура разложения(диссоциации на атомы)|~1400 °C
Плотность (газ, н.у.)|3,214 г/л
Сродство к электрону атома|3,65 эВ
Первая энергия ионизации|12,97 эВ
Теплоёмкость (298 К, газ)|34,94 Дж/(моль·K)
Критическая температура|144 °C
Критическое давление|76 атм
Стандартная энтальпия образования (298 К, газ)|0 кДж/моль
Стандартная энтропия образования (298 К, газ)|222,9 Дж/(моль·K)
Энтальпия плавления|6,406 кДж/моль
Энтальпия кипения|20,41 кДж/моль
Энергия гомолитического разрыва связи Х—Х|243 кДж/моль
Энергия гетеролитического разрыва связи Х—Х|1150 кДж/моль
Энергия ионизации|1255 кДж/моль
Энергия сродства к электрону|349 кДж/моль
Атомный радиус|0,073 нм
Электроотрицательность по Полингу|320
Электроотрицательность по Оллреду — Рохову|283
Устойчивые степени окисления|−1, 0, +1, +3, (+4), +5, (+6), +7
