Дата|Название|Английское название|Примечания
1 января|Новый год|New Year’s Day|государственный праздник
8 марта|Международный день женщин|International Women’s Day|
варьируется|Страстная Пятница|Good Friday|государственный праздник
варьируется|первый день Пасхи|Easter Sunday|
варьируется|Светлый понедельник|Easter Monday|государственный праздник
18 апреля|День здоровья|Health Day|государственный праздник
11 июля|День Евангелия|Gospel Day|государственный праздник
12 июля|День независимости|Independence Day|государственный праздник
7 августа|День молодёжи|Youth Day|
10 декабря|День прав человека|Human Rights Day|государственный праздник
25 декабря|Рождество|Christmas Day|государственный праздник
26 декабря|День подарков|Boxing Day|государственный праздник
31 декабря|Канун Нового года|New Years Eve|
