#|Фильм|Дата релиза|Дата релиза|Режиссёр(ы)|Сценаристы|Сценаристы|Продюсер(ы)|Композитор(ы)
#|Фильм|США|Россия|Режиссёр(ы)|Сюжет|Сценарий|Продюсер(ы)|Композитор(ы)
1|«История игрушек» англ. Toy Story|22 ноября 1995|23 ноября 2005 [уточнить]|Джон Лассетер|Джон Лассетер, Пит Доктер, Эндрю Стэнтон и Джо Рэнфт|Джосс Уидон, Эндрю Стэнтон, Джоэл Коэн и Алек Соколоу|Ральф Гуггенхайм и Бонни Арнольд|Рэнди Ньюман
2|«Приключения Флика» англ. A Bug’s Life|25 ноября 1998|16 февраля 1999 [уточнить]|Джон Лассетер Сорежиссёр: Эндрю Стэнтон|Джон Лассетер, Андрю Стэнтон и Джо Рэнфт|Эндрю Стэнтон, Дональд Мак-Энери и Боб Шоу|Дарла К. Андерсон и Кевин Реэр|Рэнди Ньюман
3|«История игрушек 2» англ. Toy Story 2|24 ноября 1999|26 ноября 2005 [уточнить]|Джон Лассетер Сорежиссёры: Ли Анкрич и Эш Брэннон|Джон Лассетер, Пит Доктер, Эш Брэннон и Эндрю Стэнтон|Эндрю Стэнтон, Рита Хзиао, Дуг Чемберлен и Крис Уэбб|Хелен Плоткин и Карен Роберт Джексон|Рэнди Ньюман
4|«Корпорация монстров» англ. Monsters, Inc.|2 ноября 2001|21 марта 2002|Пит Доктер Сорежиссёры: Ли Анкрич и Дэвид Сильверман|Пит Доктер, Джилл Калтон, Джефф Пиджен и Ральф Эгглстон|Эндрю Стэнтон и Дэн Джерсон|Дарла К. Андерсон|Рэнди Ньюман
5|«В поисках Немо» англ. Finding Nemo|30 мая 2003|25 декабря 2003|Эндрю Стэнтон Сорежиссёр: Ли Анкрич|Эндрю Стэнтон|Эндрю Стэнтон, Боб Питерсон и Дэвид Рейнольдс|Грэм Уолтерс|Томас Ньюман
6|«Суперсемейка» англ. The Incredibles|5 ноября 2004|23 декабря 2004|Брэд Бёрд|Брэд Бёрд|Брэд Бёрд|Джон Уолкер|Майкл Джаккино
7|«Тачки» англ. Cars|9 июня 2006|15 июня 2006|Джон Лассетер Сорежиссёр: Джо Рэнфт|Джон Лассетер, Джо Рэнфт и Йорген Клюбен|Дэн Фогельман, Джон Лассетер, Джо Рэнфт, Кил Мюррэй, Фил Лорин и Йорген Клюбен|Дарла К. Андерсон|Рэнди Ньюман
8|«Рататуй» англ. Ratatouille|29 июня 2007|28 июня 2007|Брэд Бёрд Сорежиссёр: Ян Пинкава|Ян Пинкава , Джим Капобьянко и Брэд Бёрд|Брэд Бёрд|Брэд Льюис|Майкл Джаккино
9|«ВАЛЛ-И» англ. WALL-E|27 июня 2008|3 июля 2008|Эндрю Стэнтон|Эндрю Стэнтон и Пит Доктер|Эндрю Стэнтон и Джим Рирдон|Джим Моррис|Томас Ньюман
10|«Вверх» англ. Up|29 мая 2009|28 мая 2009|Пит Доктер Сорежиссёр: Боб Питерсон|Пит Доктер, Боб Питерсон и Том Маккарти|Боб Питерсон и Пит Доктер|Йонас Ривера|Майкл Джаккино
