Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)|Заявленные участники (только категория WRC)
.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}№|Пилот|Штурман|Класс|Команда|Автомобиль|Шины
1|Себастьен Ожье|Жюльен Инграссия|WRC|/ Toyota Gazoo Racing WRT|Toyota Yaris WRC|P
6|Дани Сордо|Кандидо Каррера|WRC|/ Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|P
7|Пьер-Луи Любе|Флориан Лабордетт|WRC|/ Hyundai 2C Competition|Hyundai i20 Coupe WRC|P
8|Отт Тянак|Мартин Ярвеойя|WRC|/ Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|P
9|Журдан Сердеридис|Фредерик Миклотт|WRC|M-Sport Ford WRT|Ford Fiesta WRC|P
11|Тьерри Невилль|Мартин Вайдаег|WRC|/ Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|P
16|Адриен Фурмо|Рено Жамуль|WRC|M-Sport Ford WRT|Ford Fiesta WRC|P
18|Такамото Катсута|Китон Вилльямс|WRC|/ Toyota Gazoo Racing WRT|Toyota Yaris WRC|-
33|Элфин Эванс|Скотт Мартин|WRC|/ Toyota Gazoo Racing WRT|Toyota Yaris WRC|P
44|Гас Гринсмит|Крис Паттерсон|WRC|M-Sport Ford WRT|Ford Fiesta WRC|P
69|Калле Рованпера|Йонне Халттунен|WRC|/ Toyota Gazoo Racing WRT|Toyota Yaris WRC|P
