Партии|Места в парламенте
Социал-демократическая партия Хорватии (SDP)|61
Хорватская народная партия — Либеральные демократы (HNS-LD)|13
Хорватская партия пенсионеров (HSU)|3
Демократическая ассамблея Истрии (IDS-DDI)|3
Хорватское демократическое содружество (HDZ)|44
Хорватская гражданская партия (HGS)|2
Демократический центр (DC)|1
Хорватские лейбористы — Партия труда (HL-SR)|6
Хорватский демократический союз Славонии и Бараньи (HDSSB)|6
Независимый список Ивана Грубишича|2
Хорватская крестьянская партия (HSS)[16]|1
Хорватская партия права д-ра Анте Старчевича (HSP)[17]|1
Хорватская партия права (HSP)|-
Хорватская социал-либеральная партия (HSLS)|-
Остальные|-
Независимая демократическая сербская партия (SDSS)|3
Другие национальные меньшинства[18]|5
Всего|151
