№|Название округа(русск.)|Название округа(анг.)|Население,[2]чел. (2011)|Площадь,км²|Плотность,чел./км²
Моту (исторический северный регион)|Моту (исторический северный регион)|Моту (исторический северный регион)|Моту (исторический северный регион)|Моту (исторический северный регион)|Моту (исторический северный регион)
1|Лакепа|Lakepa|51|2158|236
2|Лику|Liku|70|4164|168
3|Макефу|Makefu|69|1713|403
4|Муталау|Mutalau|94|2631|357
5|Намукулу|Namukulu|14|148|946
6|Тои|Toi|23|477|482
7|Туапа|Tuapa|97|1254|774
8|Хикутаваке|Hikutavake|40|1017|393
Тафити (исторический южный регион)|Тафити (исторический южный регион)|Тафити (исторический южный регион)|Тафити (исторический южный регион)|Тафити (исторический южный регион)|Тафити (исторический южный регион)
9|Авателе|Avatele|139|1399|994
10|Алофи (южная часть)|Alofi South|424|4648|1375
11|Алофи (северная часть)|Alofi North|215|4648|1375
12|Ваиеа|Vaiea|89|540|1648
13|Тамакаутога|Tamakautoga|157|1193|1316
14|Хакупу|Hakupu|129|4804|269
|Всего||1611|26146|616
