Позиция|Название|Владелец
1|Первый канал|АО «Первый канал»
2|Россия-1|Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК)
3|Матч ТВ|Газпром-Медиа Холдинг
4|НТВ|Газпром-Медиа Холдинг и АО «Телекомпания НТВ»
5|Пятый канал|Национальная Медиа Группа
6|Россия-К|Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК)
7|Россия-24|Всероссийская государственная телевизионная и радиовещательная компания (ВГТРК)
8|Карусель|ЗАО «Карусель» (ВГТРК и ЗАО «Первый канал. Всемирная сеть»)
9|ОТР|АНО «Общественное телевидение России»
10|ТВ Центр|АО «Телекомпания „ТВ Центр“»
