Происхождение|Численность|% от общего числа*
Итальянцы|56 153 773|93,52 %
Румыны|796 477|1,32 %
Североафриканцы|606 556|1,01 %
Албанцы|441 396|0,73 %
Китайцы|170 265|0,28 %
Украинцы|153 998|0,26 %
Азиаты (не считая китайцев)|445 795|0,74 %
Латиноамериканцы|298 860|0,50 %
Негры южнее Сахары|264 570|0,44 %
другие|713 378|1,19 %
* Процентное соотношение этносов населения Италии на 1 января 2009 года|* Процентное соотношение этносов населения Италии на 1 января 2009 года|* Процентное соотношение этносов населения Италии на 1 января 2009 года
