Многоэтажная жилая застройка|Многоэтажная жилая застройка|Многоэтажная жилая застройка|Многоэтажная жилая застройка
№ дома|Год постройки|Количество этажей|Примечания
1|1987.0|14|
3|1980.0|14|
4|1989.0|9|
5|1992.0|9|
6|1985.0|14|
7|2003.0|14|
10/8|2000.0|10|
11||8|
12|2012.0|16-18|
13/14|2002.0|9|
14|2012.0|16-18|
15|2002.0|9|
16/15|2011.0|16|
17|2000.0|10|
19|2001.0|10|
20/12|2003.0|8|
20А|2005.0|7|
20Б||7|
22|2012.0|16|
23|2003.0|16|
25|2003.0|16|
26/5|2005.0|5|
27|1996.0|9|
28|2004.0|5|
29|1994.0|10|
31|1996.0|10|
33|1996.0|10|
35|1996.0|10|
36||16|ЖК «Магеллан» — дом «Северная Америка»
37|1996.0|10|
38|2011.0|22|ЖК «Магеллан», дом «Австралия»
39|1996.0|10|
40||16|ЖК «Магеллан» — дом «Южная Америка»
41|1997.0|8|
43|1997.0|8|
45|1998.0|5|
47|1994.0|10|
49|1994.0|10|
51|1994.0|10|
53|1994.0|10|
55|1994.0|10|
57|1994.0|10|
59||10|
60|2006.0|10|
61||10|
61А|2013.0|25|ЖК «Миллениум-Сити»
61Б|2013.0|19|ЖК «Миллениум-Сити»
62|2006.0|13|
63|2007.0|26|ЖК «Миллениум-Сити»
63А|2007.0|20|ЖК «Миллениум-Сити»
64|2010.0|14|
66|2008.0|11|
69А||19|
70|2008.0|9|
71/1А|2012.0|19|
71А||19|
72|2007.0|9|
73|2004.0|9|
74|2008.0|9|
75|2005.0|9|
76|2009.0|18|
77/2|2004.0|9|
79|2008.0|9|
81|2006.0|9|
82|2007.0|9|
84/11|2008.0|14|
85|2007.0|9|
85А|2007.0|14|
86|2009.0|12|
88|2016.0|22|ЖК «Столичный», дом № 1
