Рекорд|Значение|Место|Дата
Самая высокая температура|37,8 °C|Вентспилс|4 августа 2014 года
Самая низкая температура|−43,2 °C|Даугавпилс|8 февраля 1956 года
Больше всего осадков за год|1007 мм|Приекульская волость|1928 год
Меньше всего осадков за год|384 мм|Айнажи|1939 год
Больше всего осадков за день|160 мм|Вентспилс|9 июля 1973 года
Самая высокая месячная норма осадков|330 мм|Ницская волость|август 1972 года
Самая низкая месячная норма осадков|0 мм|Большая часть территории|май 1938 года
Самый толстый снежный покров|126 см|Гайзинькалнс|март 1931 года
Месяц с наибольшим количеством метелей|19 дней|Лиепая|февраль 1956 года
Большинство дней с туманом за год|143 дня|Гайзинькалнская волость|1946 год
Самое высокое атмосферное давление|799,5 мм|Лиепая|январь 1907 года
Самое низкое атмосферное давление|699,7 мм|Видземская возвышенность|13 февраля 1962 года
Большинство дней с грозами за год|52 дня|Видземская возвышенность|1954 год
Сильнейший ветер|34 м/сек., до 48 м/сек.|Не указан|2 ноября 1969 года
