Выпуск|Премьера|Команды|Победители
Первый сезон|Первый сезон|Первый сезон|Первый сезон
1|18 сентября 2020 г.|Разные и Курские|Разные
2|26 сентября 2020 г.|Лютые и Такие|Лютые
3|3 октября 2020 г.|Минские и Тайные|Минские
4|10 октября 2020 г.|Кайфовые и Трезвые|Трезвые
5|17 октября 2020 г.|Минские и Лютые|Минские
6|24 октября 2020 г.|Трезвые и Разные|Разные
7|31 октября 2020 г.|Трезвые и Лютые|Лютые
8|6 ноября 2020 г.|Минские и Разные|Минские
Второй сезон|Второй сезон|Второй сезон|Второй сезон
1 (9)|6 февраля 2021 г.|Тайные и Лютые|Лютые
2 (10)|13 февраля 2021 г.|Такие и Курские|Курские
3 (11)|20 февраля 2021 г.|Минские и Громкие|Минские
4 (12)|27 февраля 2021 г.|Разные и Сносные|Разные
5 (13)|6 марта 2021 г.|Минские и Курские|Минские
6 (14)|13 марта 2021 г.|Разные и Лютые|Лютые
7 (15)|20 марта 2021 г.|Разные и Курские|Разные
8 (16)|27 марта 2021 г.|Минские и Лютые|Лютые
Третий сезон|Третий сезон|Третий сезон|Третий сезон
1 (17)|3 сентября 2021 г.|Лёгкие и Несносные|Несносные
2 (18)|10 сентября 2021 г.|Минские и Фантастические|Минские
3 (19)|17 сентября 2021 г.||
