Продукт|Белок|Аргинин|А/Б
Свинина сырая|20,95 г|1394 мг|0 6,7 %
Сырое куриное филе|21,23 г|1436 мг|0 6,8 %
Сырое филе лосося|20,42 г|1221 мг|0 6,0 %
Куриное яйцо|12,57 г|0 820 мг|0 6,5 %
Коровье молоко, 3,7 % жирности|0 3,28 г|0 119 мг|0 3,6 %
Кедровые орехи|13,69 г|2413 мг|17,6 %
Грецкие орехи|15,23 г|2278 мг|15,0 %
Тыквенные семечки|30,23 г|5353 мг|17,7 %
Пшеничная мука г/п|13,70 г|0 642 мг|0 4,7 %
Кукурузная мука|0 6,93 г|0 345 мг|0 5,0 %
Рис нешлифованный|0 7,94 г|0 602 мг|0 7,6 %
Гречишный хлеб|13,25 г|0 982 мг|0 7,4 %
Горох сушёный|24,55 г|2188 мг|0 8,9 %
