Швеция|Швеция|Швеция|Швеция|Швеция
Род войск|Название полка[23][24][25][26]|Численность[23][24][25][26]|Размер[23][24][25][26]|Командир[23][27]
Пехота|Вестманландский полк (швед.)русск.||2 батальона|Аксель Спарре и Эрик Спарре аф Сундбю (швед.)русск.
Пехота|Нёрке-Вермландский полк (швед.)русск.||2 батальона|Аксель Спарре и Эрик Спарре аф Сундбю (швед.)русск.
Пехота|Йёнчёпингский полк (швед.)русск.||1 батальон|Аксель Спарре и Георг фон Бушвальдт (швед.)русск.
Пехота|Вестерботтенский полк||2 батальона|Бернд Отто Штакельберг-старший и Гидеон Фок (швед.)русск.
Пехота|Эстергётландский полк (швед.)русск.||2 батальона|Бернд Отто Штакельберг-старший и Андерс Аппельгрен (швед.)русск.
Пехота|Уппландский полк (швед.)русск.||1 батальон|Бернд Отто Штакельберг-старший и Густав Штернхук (швед.)русск.
Пехота|Даларнский полк (швед.)русск.||2 батальона|Карл Густав Роос и Густав Хенрик фон Зигрот (швед.)русск.
Пехота|Шведская лейб-гвардия (швед.)русск.|[28]|4 батальона|Карл Густав Роос и Андерс Лагеркруна
Пехота|Кальмарский полк (швед.)русск.||1 батальон|Андерс Лагеркруна и Густав Ранк
Пехота|Скараборгский полк (швед.)русск.||1 батальон|Андерс Лагеркруна и Карл Густав Ульфспарре
Кавалерия|Корпус драбантов (швед.)русск.||1 эскадрон|Карл-Густав Хорд (швед.)русск.
Кавалерия|Кавалерийский лейб-гвардии полк (швед.)русск.||12 эскадронов|Карл Густав Крейц
Кавалерия|Уппландский резервный драгунский полк (швед.)русск.||8 эскадронов|Андерс Веннерштедт (швед.)русск.
Кавалерия|Абоский и Бьёрнеборгский ленский кавалерийский полк (швед.)русск.||8 эскадронов|Фриц Вахтмайстер
Кавалерия|Смоландский кавалерийский полк (швед.)русск.||8 эскадронов|Юхан Валентин фон Дальдорф (швед.)русск.
Кавалерия|Нюландский и Тавастгусский ленский кавалерийский полк (швед.)русск.||8 эскадронов|Андерс Торстентон (швед.)русск.
Кавалерия|Эстергётландский кавалерийский полк (швед.)русск.||8 эскадронов|Хуго Юхан Гамильтон
Кавалерия|Северосконский кавалерийский полк (швед.)русск.||8 эскадронов|Густав Хорн аф Мариенборг (швед.)русск.
Кавалерия|Южносконский кавалерийский полк (швед.)русск.||4 эскадрона|Карл Густав Эрнештедт (швед.)русск.
Кавалерия|Лейб-драгунский полк (швед.)русск.|[28]|4 эскадрона|Карл Густав Реншильд и Филипп Эрнештедт
Кавалерия|Сконский резервный драгунский полк||8 эскадронов|Максимилиан Эмануэль Вюртемберг-Виннентальский
Кавалерия|Валашский полк||12 эскадронов|Сандул Кольца
Кавалерия|Обозная рота|||
Кавалерия|Драгуны Гюлленштерна||8 эскадронов|Нильс Гюлленштерн (швед.)русск.
Кавалерия|Драгуны Таубе (швед.)русск.||8 эскадронов|Густав Адам Таубе (швед.)русск.
Кавалерия|Драгуны Дюкера||4 эскадрона|Карл Густав Дюкер
Кавалерия|Драгуны Гельма||8 эскадронов|Нильс Гельм
Осадныечасти|Сёдерманландский полк (швед.)русск.||1 батальон|Габриэль фон Вайденхайн
Осадныечасти|Крунубергский полк (швед.)русск.||1 батальон|Юхан Кронман (швед.)русск.
Осадныечасти|Лейб-гвардия (швед.)русск.||1 батальон|Густав Юхан Лагергельм
Осадныечасти|Лейб-драгунский полк (швед.)русск.||4 эскадрона|
Осадныечасти|Полевой резерв||1 эскадрон|
Резервы вПушкарёвке|Адельсфан||4 эскадрона|Андерс Рамсверд
Резервы вПушкарёвке|Лифляндский адельсфан||1 эскадрон|
Резервы вПушкарёвке|Карельский кавалерийский полк (швед.)русск.||4 эскадрона|Карл Густав Крузе
Резервы вПушкарёвке|Уппландский резервный драгунский полк (швед.)русск.||4 эскадрона|Карл Густав Крузе
Резервы вПушкарёвке|Драгуны Шлиппенбаха||4 эскадрона|Вольмар Антон фон Шлиппенбах
Резервы вПушкарёвке|Драгуны Шрейтерфельдта||4 эскадрона|Карл Густав фон Шрейтерфельдт
Резервы вПушкарёвке|Драгуны д’Альбедюля||4 эскадрона|Хенрик Отто фон Альбедюль
ОхранаВорсклы|Драгунский полк Мейерфельдта||8 эскадронов|Юхан Август Мейерфельдт-старший
ОхранаВорсклы|Отряд Функа||4 эскадрона|Томас Функ (швед.)русск.
ОхранаВорсклы|Отряд Сильвергельма||5 эскадронов|Геран Сильвергельм
