Место|Государство(или зависимая территория)|1 июля 2012Оценка ООН|%населения|Среднийотносительныйгодовойприрост(%, ООН)[69]|Среднийабсолютныйгодовойприрост(ООН)[70]|Периодожидаемогоудвоения(лет,ООН)[71]|Данныеальтерн. источников|Дата|Источник
1.0|Китай|1353601000|32.02|0.45|6091000|154|1347350000|31 декабря 2011|Official estimate (англ.)(недоступная ссылка). Архивировано 29 ноября 2012 года.
2.0|Индия|1258351000|29.77|1.36|17114000|51|1210193422|1 марта 2011|Census result (англ.)(недоступная ссылка). Архивировано 16 мая 2011 года.
3.0|Индонезия|244769000|5.79|1.01|2472000|69|237641326|май 2010|Census result (англ.)(недоступная ссылка). Архивировано 18 июля 2011 года.
4.0|Пакистан|179951000|4.26|1.81|3257000|39|210 584 000|сентябрь 15, 2021|Official population clock (англ.)www.census.gov.pk. Дата обращения: 8 марта 2021.
5.0|Бангладеш|152409000|3.61|1.27|1936000|55|142319000|15 марта 2011|Census result (англ.)(недоступная ссылка). Архивировано 15 января 2013 года.
6.0|Россия (с европейской частью)|143800000||||139|143800000|1 января 2012 года|
7.0|Япония|126435000|2.99|−0.05|−63,000|-|127650000|1 марта 2012|Monthly official estimate (англ.)www.stat.go.jp. Дата обращения: 8 марта 2021.
8.0|Филиппины|96471000|2.28|1.71|1650000|41|94013200|2010|Official estimate (англ.)(недоступная ссылка). Архивировано 11 августа 2011 года.
9.0|Вьетнам|89730000|2.12|1.06|951000|66|87840000|2011|Official estimate (англ.)www.gso.gov.vn. Дата обращения: 8 марта 2021.
10.0|Иран|75612000|1.79|1.09|824000|64|86 304 000|сентябрь 15, 2021|Official population clock (англ.)www.amar.org.ir. Дата обращения: 8 марта 2021.
11.0|Турция|74509000|1.76|1.18|879000|59|74724269|31 декабря 2011|Official estimate (англ.)www.turkstat.gov.tr. Дата обращения: 8 марта 2021.
12.0|Таиланд|69892000|1.65|0.54|377000|129|65479453|1 сентября 2010|Census result (нем.)www.citypopulation.de. Дата обращения: 8 марта 2021.
13.0|Мьянма|48724000|1.15|0.80|390000|87|57197871|2012|World Gazetteer projection (англ.)(недоступная ссылка). Архивировано 5 января 2013 года.
14.0|Республика Корея|48588000|1.15|0.41|199000|169|48580000|1 ноября 2010|Census result (англ.)kostat.go.kr. Дата обращения: 8 марта 2021.
15.0|Ирак|33703000|0.8|3.18|1072000|22|33330000|2011|Official estimate (англ.)(недоступная ссылка). Архивировано 29 октября 2012 года.
16.0|Афганистан|33397000|0.79|3.21|1072000|22|24485600|1 января 2011|Official estimate (англ.)cso.gov.af. Дата обращения: 8 марта 2021.
17.0|Непал|31011000|0.73|1.72|533000|41|26620809|22 июня 2011|Census result (англ.)archive.wikiwix.com. Дата обращения: 8 марта 2021.
18.0|Малайзия|29322000|0.69|1.60|469000|44|28334135|6 июля 2010|Census result (англ.)(недоступная ссылка). Архивировано 13 ноября 2011 года.
19.0|Саудовская Аравия|28705000|0.68|2.21|634000|32|27136977|28 апреля 2010|Census result (англ.)(недоступная ссылка). Архивировано 19 сентября 2012 года.
20.0|Узбекистан|28077000|0.66|1.14|320000|61|28000000|1 января 2010|Official estimate (англ.)(недоступная ссылка). Архивировано 25 апреля 2012 года.
21.0|Йемен|25569000|0.6|3.10|793000|23|24527000|2012|Official estimate (англ.)(недоступная ссылка). Архивировано 23 сентября 2015 года.
22.0|КНДР|24554000|0.58|0.42|103000|165|24052231|1 октября 2008|Census result (англ.)(недоступная ссылка). unstats.un.org. Дата обращения: 8 марта 2021. Архивировано 26 марта 2016 года.
