Фильм|Rotten Tomatoes[13]|Metacritic[14]|CinemaScore[15]|IMDb[16]|КиноПоиск[17] (недоступная ссылка)
История игрушек|100 % / 92 %|95/100|A|8.3/10|7.9/10
Приключения Флика|92 % / 73 %|77/100|A|7.2/10|7.6/10
История игрушек 2|100 % / 86 %|88/100|A+|7.9/10|7.7/10
Корпорация монстров|96 % / 90 %|79/100|A+|8.1/10|8.1/10
В поисках Немо|99 % / 86 %|90/100|A+|8.1/10|7.9/10
Суперсемейка|97 % / 75 %|90/100|A+|8.0/10|7.5/10
Тачки|74 % / 79 %|73/100|A|7.1/10|7.5/10
Рататуй|96 % / 87 %|96/100|A|8.0/10|8.0/10
ВАЛЛ-И|95 % / 90 %|95/100|A|8.4/10|8.3/10
Вверх|98 % / 90 %|88/100|A+|8.2/10|8.0/10
История игрушек 3|98 % / 89 %|92/100|A|8.3/10|7.8/10
Тачки 2|39 % / 49 %|57/100|A-|6.1/10|6.8/10
Храбрая сердцем|78 % / 75 %|69/100|A|7.1/10|7.4/10
Университет монстров|80 % / 81 %|65/100|A|7.3/10|7.6/10
Головоломка|98 % / 89 %|94/100|A|8.1/10|8.0/10
Хороший динозавр|76 % / 65 %|66/100|A|6.7/10|7.1/10
В поисках Дори|94 % / 84 %|77/100|A|7.3/10|7.4/10
Тачки 3|69 % / 69 %|59/100|A|6.7/10|7.1/10
Тайна Коко|97 % / 94 %|81/100|A+|8.4/10|8.6/10
Суперсемейка 2|93 % / 84 %|80/100|A+|7.6/10|7.4/10
История игрушек 4|97 % / 94 %|84/100|A|7.8/10|7.6/10
Вперёд|88 % / 95 %|61/100|A-|7.4/10|7.6/10
Душа|96 % / 88 %|83/100||8.1/10|8.3/10
