Грек|Римлянин|Пролог|Сравнение
Тесей|Ромул||
Ликург|Нума Помпилий||
Солон|Публий Валерий Попликола||
Фемистокл|Марк Фурий Камилл|[комм. 11]|
Перикл|Квинт Фабий Максим Веррукоз||
Алкивиад|Гней Марций Кориолан||
Тимолеонт|Луций Эмилий Павел Македонский||
Пелопид|Марк Клавдий Марцелл||
Аристид|Марк Порций Катон Старший||
Филопемен|Тит Квинкций Фламинин||
Пирр|Гай Марий||
Лисандр|Луций Корнелий Сулла||
Кимон|Луций Лициний Лукулл||
Никий|Марк Лициний Красс||
Эвмен|Квинт Серторий||
Агесилай II|Гней Помпей Великий||
Александр Македонский|Гай Юлий Цезарь||
Фокион|Марк Порций Катон Младший||
Агис IV и Клеомен III|Братья Гракхи: Тиберий и Гай||
Демосфен|Марк Туллий Цицерон||
Деметрий I Полиоркет|Марк Антоний||
Дион Сиракузский|Марк Юний Брут||
