Клуб|Город|Стадион (вместимость)
Академия Пушкаша|Фельчут|Панчо Арена (3 816)
Дебрецен|Дебрецен|Надьердеи (20 340)
Дьирмот|Дьёр|Альцуфер (4 700)
Гонвед|Будапешт|Нандор Хидегкути (5 322)
Залаэгерсег|Залаэгерсег|ЗТЕ Арена (11 200)
Кишварда|Кишварда|Варкерти (2 850)
МТК|Будапешт|Хидегкути Нандор (12 700)
Мезёкёвешд|Мезёкёвешд|Мезёкёвешди Вароши (4 183)
Пакш|Пакш|Фехервари ути (6 150)
Уйпешт|Будапешт|Ференц Суса (13 501)
Ференцварош|Будапешт|Групама Арена (22 000)
МОЛ Фехервар|Секешфехервар|МОЛ Арена Шошто (14 201)
