№|Название|Дата премьеры|Unnamed: 3
1|Зелёный трон«The Green Throne / Midori no Za» (緑の座)|23 октября 2005 года [4]|
Гинко расследует дело маленького мальчика, чьи рисунки, если их нарисовать левой рукой, оживают. Вскоре он понимает, что за мальчиком кто-то присматривает.|Гинко расследует дело маленького мальчика, чьи рисунки, если их нарисовать левой рукой, оживают. Вскоре он понимает, что за мальчиком кто-то присматривает.|Гинко расследует дело маленького мальчика, чьи рисунки, если их нарисовать левой рукой, оживают. Вскоре он понимает, что за мальчиком кто-то присматривает.|Гинко расследует дело маленького мальчика, чьи рисунки, если их нарисовать левой рукой, оживают. Вскоре он понимает, что за мальчиком кто-то присматривает.
2|Свет под веками«The Light in the Eyelids / Mabuta no Hikari» (瞼の光)|30 октября 2005 года [4]|
Гинко оказывает помощь маленькой девочке, которая проводит свои дни запертой в сарае, потому что не выносит солнечного света из-за странной болезни. Однако, когда её двоюродный брат тоже заболевает той же болезнью, Гинко должен найти способ избавиться от неё.|Гинко оказывает помощь маленькой девочке, которая проводит свои дни запертой в сарае, потому что не выносит солнечного света из-за странной болезни. Однако, когда её двоюродный брат тоже заболевает той же болезнью, Гинко должен найти способ избавиться от неё.|Гинко оказывает помощь маленькой девочке, которая проводит свои дни запертой в сарае, потому что не выносит солнечного света из-за странной болезни. Однако, когда её двоюродный брат тоже заболевает той же болезнью, Гинко должен найти способ избавиться от неё.|Гинко оказывает помощь маленькой девочке, которая проводит свои дни запертой в сарае, потому что не выносит солнечного света из-за странной болезни. Однако, когда её двоюродный брат тоже заболевает той же болезнью, Гинко должен найти способ избавиться от неё.
3|Мягкие рожки«Soft Horns / Yawarakai Tsuno» (柔らかい角)|6 ноября 2005 года [4]|
Мальчику, у которого почему-то на голове растут рога, суждено умереть, как и его матери, которая страдала той же проблемой. Гинко понимает, что определённый тип шума заставляет рожки расти, и ему нужно найти лекарство.|Мальчику, у которого почему-то на голове растут рога, суждено умереть, как и его матери, которая страдала той же проблемой. Гинко понимает, что определённый тип шума заставляет рожки расти, и ему нужно найти лекарство.|Мальчику, у которого почему-то на голове растут рога, суждено умереть, как и его матери, которая страдала той же проблемой. Гинко понимает, что определённый тип шума заставляет рожки расти, и ему нужно найти лекарство.|Мальчику, у которого почему-то на голове растут рога, суждено умереть, как и его матери, которая страдала той же проблемой. Гинко понимает, что определённый тип шума заставляет рожки расти, и ему нужно найти лекарство.
4|Проход через подушку«The Alley Through the Pillow / Makura no Kōji» (枕小路)|13 ноября 2005 года [4]|
Кошмарные сны фермера становятся реальностью и уносят жизни тех, кого он любит. Гинко нужно выяснить, что заставляет эти кошмары превращаться в реальность.|Кошмарные сны фермера становятся реальностью и уносят жизни тех, кого он любит. Гинко нужно выяснить, что заставляет эти кошмары превращаться в реальность.|Кошмарные сны фермера становятся реальностью и уносят жизни тех, кого он любит. Гинко нужно выяснить, что заставляет эти кошмары превращаться в реальность.|Кошмарные сны фермера становятся реальностью и уносят жизни тех, кого он любит. Гинко нужно выяснить, что заставляет эти кошмары превращаться в реальность.
5|Странствующее болото«The Traveling Swamp / Tabi o Suru Numa» (旅をする沼)|20 ноября 2005 года [4]|
Гинко расследует дело таинственной девочки-подростка с зелёными волосами, которую видели в болоте, которое движется само по себе. С помощью хорошего друга и жителей деревни у Гинко есть только один шанс спасти её, прежде чем болото неизбежно погибнет.|Гинко расследует дело таинственной девочки-подростка с зелёными волосами, которую видели в болоте, которое движется само по себе. С помощью хорошего друга и жителей деревни у Гинко есть только один шанс спасти её, прежде чем болото неизбежно погибнет.|Гинко расследует дело таинственной девочки-подростка с зелёными волосами, которую видели в болоте, которое движется само по себе. С помощью хорошего друга и жителей деревни у Гинко есть только один шанс спасти её, прежде чем болото неизбежно погибнет.|Гинко расследует дело таинственной девочки-подростка с зелёными волосами, которую видели в болоте, которое движется само по себе. С помощью хорошего друга и жителей деревни у Гинко есть только один шанс спасти её, прежде чем болото неизбежно погибнет.
6|Рой, поглощающий росу«The Dew Consuming Swarm / Tsuyu o Suu Mure» (露を吸う群)|27 ноября 2005 года [4]|
За услугами Гинко обращается мальчик, живущий на далёком острове, чтобы расследовать дело девушки, которую местные жители почитают как бога. И Гинко, и мальчик понимают, какой жадной может быть семья, чтобы заслужить уважение.|За услугами Гинко обращается мальчик, живущий на далёком острове, чтобы расследовать дело девушки, которую местные жители почитают как бога. И Гинко, и мальчик понимают, какой жадной может быть семья, чтобы заслужить уважение.|За услугами Гинко обращается мальчик, живущий на далёком острове, чтобы расследовать дело девушки, которую местные жители почитают как бога. И Гинко, и мальчик понимают, какой жадной может быть семья, чтобы заслужить уважение.|За услугами Гинко обращается мальчик, живущий на далёком острове, чтобы расследовать дело девушки, которую местные жители почитают как бога. И Гинко, и мальчик понимают, какой жадной может быть семья, чтобы заслужить уважение.
