Дата постановки|Место проведения|Русскоеназвание|Оригинальноеназвание|Автор|Режиссёр|Роль
27 ноября — 22 декабря 2001|Citizens Theatre, Глазго|Семейство Твит|The Twits|Дэвид Вудпо рассказу Роальда Даля|Кенни Миллер|птица[61]
12 июля — 24 августа 2002|Traverse Theatre, Эдинбург|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
5 — 28 сентябрь 2002|Royal Court Theatre Upstairs, Лондон|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
9 — 13 апреля 2003|du Maurier Theatre, Торонто|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
24 апреля — 10 мая 2003|Traverse Theatre, Эдинбург|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
13 — 17 мая 2003|Citizens Theatre, Глазго|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
20 — 24 мая 2003|Adam Smith Theatre, Керколди|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
27 — 29 мая 2003|Salisbury Playhouse, Солсбери|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
3 — 28 июня 2003|гастроли по Шотландии|Далёкие острова|Outlying Islands|Дэвид Грег[en]|Филип ХауардTraverse Theatre|Джон[62][63]
3 — 12 февраля 2005|Tron Theatre, Глазго|Ножи в курицах|Knives in Hens|Дэвид Хэрроуэр|Гай ХолландсTAG Theatre Company|Жеребчик Уильям (Пахарь)[64]
14 февраля — 7 марта 2005|гастроли по Шотландии|Ножи в курицах|Knives in Hens|Дэвид Хэрроуэр|Гай ХолландсTAG Theatre Company|Жеребчик Уильям (Пахарь)[64]
8 — 12 марта 2005|Traverse Theatre, Эдинбург|Ножи в курицах|Knives in Hens|Дэвид Хэрроуэр|Гай ХолландсTAG Theatre Company|Жеребчик Уильям (Пахарь)[64]
16 марта 2005|Howden Park Centre, Ливингстон|Ножи в курицах|Knives in Hens|Дэвид Хэрроуэр|Гай ХолландсTAG Theatre Company|Жеребчик Уильям (Пахарь)[64]
22 января — 10 марта 2007|Royal Exchange Theatre, Манчестер|Водоворот|The Vortex|Ноэл Кауард|Джо Комбс|Том Верян[65]
21 сентября — 13 октября 2007|Citizens Theatre, Глазго|Гамлет|Hamlet|Уильям Шекспир|Доминик Хилл[en]|Фортинбрас / Гильденстерн[65]
30 октября — 24 ноября 2007|Traverse Theatre, Эдинбург|Искатель жемчуга|The Pearlfisher|Иан Финли Маклауд[en]|Филип Хауард|Родерик / Эдди[65]
12 — 29 марта 2008|Dundee Repertory Theatre, Данди|Ромео и Джульетта|Romeo And Juliet|Уильям Шекспир|Джеймс Брайнинг|Парис[65]
12 сентября — 11 октября 2008|Royal Lyceum Theatre, Эдинбург|Макбет|Macbeth|Уильям Шекспир|Люси Питман-УоллесRoyal Lyceum Theatre|Малкольм / убийца[65]
22 октября — 15 ноября 2008|Playhouse, Ноттингем|Макбет|Macbeth|Уильям Шекспир|Люси Питман-УоллесRoyal Lyceum Theatre|Малкольм / убийца[65]
12 февраля — 2 мая 2009|Duchess Theatre, Данди|Чума над Англией|Plague Over England|Николас де Йонг[en]|Тамара Харви|Грегори[65]
17 сентября — 9 октября 2010|Royal & Derngate, Нортгемптон|Талантливый мистер Рипли|The Talented Mr Ripley|Филлис Надь[en]по роману Патриции Хайсмит|Раз Шоу|Дикки Гринлиф[66]
4 — 28 января 2011|Bridewell Theatre, Лондон|Амфибии|Amphibians|Стив Уотерс[en]|Крессида БраунOffstage Theatre|Макс[67]
19 — 24 июля 2011|Manchester Evening News Arena, Манчестер|Batman Live|Batman Live|Аллан Хейнберг[en]|Энтони Ван Лааст[en]Джеймс ПауэллWorld Arena Tourпри участииWarner Bros и DC Entertainment|Бэтмен / Брюс Уэйн[68]
27 июля — 8 октября 2011|гастроли по Великобритании и Ирландии|Batman Live|Batman Live|Аллан Хейнберг[en]|Энтони Ван Лааст[en]Джеймс ПауэллWorld Arena Tourпри участииWarner Bros и DC Entertainment|Бэтмен / Брюс Уэйн[68]
19 октября 2011 — 11 марта 2012|гастроли по Европе(Дания, Швеция, Нидерланды,Франция, Бельгия, Австрия,Германия, Швейцария, Чехия)|Batman Live|Batman Live|Аллан Хейнберг[en]|Энтони Ван Лааст[en]Джеймс ПауэллWorld Arena Tourпри участииWarner Bros и DC Entertainment|Бэтмен / Брюс Уэйн[68]
11 апреля — 21 мая 2012|гастроли по Южной Америке(Бразилия, Чили, Аргентина)|Batman Live|Batman Live|Аллан Хейнберг[en]|Энтони Ван Лааст[en]Джеймс ПауэллWorld Arena Tourпри участииWarner Bros и DC Entertainment|Бэтмен / Брюс Уэйн[68]
5 сентября — 16 декабря 2012|гастроли по США|Batman Live|Batman Live|Аллан Хейнберг[en]|Энтони Ван Лааст[en]Джеймс ПауэллWorld Arena Tourпри участииWarner Bros и DC Entertainment|Бэтмен / Брюс Уэйн[68]
25 — 30 июня 2012|A Play, A Pie and A Pint(в ресторане Òran Mór), Глазго|Король Джон|King John|Уильям Шекспир|Филип Хауард|король Джон[69]
