Предыдущее название|Год|Текущее название
Португальская Юго-Западная Африка|1975|Республика Ангола
Дагомея|1975|Республика Бенин
Протекторат Бечуаналенд|1966|Республика Ботсвана
Республика Верхняя Вольта|1984|Республика Буркина-Фасо
Убанги-Шари|1960|Центральноафриканская Республика
Республика Заир|1997|Демократическая Республика Конго
Среднее Конго|1960|Республика Конго
Берег Слоновой Кости|1985|Республика Кот-д’Ивуар*
Французская территория афаров и исса|1977|Республика Джибути
Испанская Гвинея|1968|Республика Экваториальная Гвинея
Абиссиния|1941|Федеральная Демократическая Республика Эфиопия
Золотой Берег|1957|Республика Гана
часть Французской Западной Африки|1958|Республика Гвинея
Португальская Гвинея|1974|Республика Гвинея-Бисау
Протекторат Басутоленд|1966|Королевство Лесото
Протекторат Ньясаленд|1964|Республика Малави
Французский Судан|1960|Республика Мали
Германская Юго-Западная Африка|1990|Республика Намибия
Германская Восточная Африка / Руанда-Урунди|1962|Республика Руанда / Республика Бурунди
Британский Сомалиленд / Итальянский Сомалиленд|1960|Республика Сомали
Занзибар / Танганьика|1964|Объединённая республика Танзания
Буганда|1962|Республика Уганда
Северная Родезия|1964|Республика Замбия
Южная Родезия|1980|Республика Зимбабве
Королевство Свазиленд|2018|Королевство Эсватини
