Тома (главы)|Русское название|Английское название|Японское название|Дата публикации тома
1 (1—6)|Отряд под названием «G»|"The Unit called ""G"""||1986-01
2 (7—12)|Кронос|Cronos||1986-11
3 (13—20)|Секрет Мураками|Murakami's Secret||1987-09
4 (21—28)|Угроза Аптома|Aptom's Menace||1988-07
5 (29—34)|12 Лордов|The 12 Lords||1989-02
6 (35—40)|Контратака Гайота|Guyot's Counterattack||1990-04
7 (41—46)|Угроза Удаления|The Menace of the Remover||1990-09
8 (47—52)|Новое Начало|A New Beginning||1991-09
9 (53—58)|Гайвер Гигантик|Guyver Gigantic||1992-01
10 (59—62)|Тринадцатый Лорд|The 13th Lord||1993-10
11 (63—66)|Живой Ковчег|The Living Ark||1994-05
12 (67—72)|Остров Арханфеля|Archanfel's Island||1995-01
13 (73—79)|Гигантская Тьма|Gigantic Dark||1995-10
14 (80—86)|Финальный Матч|Final Match||1996-07
15 (87—93)|Возвращение Гайвера|The Return of the Guyver||1997-05
16 (94—99)|Атака Пург'столла|Purg'stall's Attack||1999-12
17 (100—106)|Его зовут Либертус|His Name is Libertus||2000-11
18 (107—112)|Пробуждение Имакарума|Imakarum's Awakening||2001-09
19 (113—119)|В Бездну|To the Abyss||2002-04
20 (120—126)|Злой Аптом|Evil Aptom||2003-01
21 (127—133)|Месть|Revenge||2003-12
22 (134—140)|Возрождение Темного Королевства|The Dark Kingdom's Rebirth||2004-07-01
23 (141—147)|Настоящее Лицо Божественности|The Real Face of Divinity||2005-12-26
24 (148—154)|Возвращение Аптома|Aptom's Return||2006-09-26
25 (155—160)|Атака Драглорда|The Draglord's Attack||2008-01-26
26 (161—167)|Рейд Валькирий|Reid of the Valkyria|戦女神、来日|2009-02-26
27 (168—173)|Начало Бедствия|Beginning of Calamity|宴の開幕|2010-03-26
28 (174—178)|Гигантомахия|Gigantomakhia|激闘!! 晶と顎人|2011-08-23
29 (179—184)|Неожиданные Гости|The Unexpected Guests|招かれざる客|2012-09-21
30 (184—188)|На Острове Таинственного|On the Isle of Mysterious|神秘の島で|2013-09-24
31 (189—194)|Ярмо Судьбы|Yoke of Fate|運命の軛|2014-09-26
32 (195—199)|Колоссы Тьмы|Colossi of the Darkness|漆黒の魔神|2016-02-26
