Жалованье армейских офицеров и военного духовенства перед Первой мировой войной, руб./год[123][124].|Жалованье армейских офицеров и военного духовенства перед Первой мировой войной, руб./год[123][124].|Жалованье армейских офицеров и военного духовенства перед Первой мировой войной, руб./год[123][124].
Чин|Оклад после вычетов|Оклад после вычетов
Чин|Основной|Усиленный
Полный генерал|2100|2940
Генерал-лейтенант|1800|2472
Генерал-майор|1500|2004
Полковник|1200|1536
Настоятель военного собора и протоиерей благочинный|1200|1536
Нештатный протоиерей и священник в звании благочинного|1080|1344
Подполковник, войсковой старшина|1080|1344
Капитан, ротмистр, есаул|900|1080
Священник|900|1080
Штабс-капитан, штабс-ротмистр, подъесаул|780|948
Поручик, сотник|720|876
Штатный дьякон|720|876
