Национальность|Численностьчел.|В % к числу лиц,указавшихнациональнуюпринадлежность
русские|1 269 979|92,82 %
украинцы|12 570|0,92 %
узбеки|10 323|0,75 %
татары|9985|0,73 %
немцы|8649|0,63 %
таджики|8396|0,61 %
армяне|6446|0,47 %
киргизы|6033|0,44 %
азербайджанцы|5652|0,41 %
белорусы|3277|0,24 %
казахи|2837|0,21 %
корейцы|2739|0,20 %
езиды|2157|0,16 %
евреи|2047|0,15 %
китайцы|1726|0,13 %
цыгане|1432|0,10 %
тувинцы|1190|0,09 %
буряты|1180|0,09 %
чуваши|981|0,07 %
грузины|901|0,07 %
турки|756|0,05 %
мордва|691|0,05 %
якуты|584|0,04 %
башкиры|551|0,04 %
поляки|497|0,04 %
алтайцы|487|0,04 %
молдаване|480|0,04 %
лица других национальностей|5667|0,41 %
без национальности|98 148|x
национальность не указана|4375|x
отказ от ответа|3018|x
