Тип|Изображение|Разработчик|Количество|Примечания|Unnamed: 5_level_0
Самолёты-разведчики|Самолёты-разведчики|Самолёты-разведчики|Самолёты-разведчики|Самолёты-разведчики|Самолёты-разведчики
KJ-600||Китай|0|Палубный самолёт ДРЛОиУ. Совершил первый полёт 29 августа 2020 года[59]|
KJ-500||Китай|>25 (ВВС + ВМС)[60]|Самолёт ДРЛОиУ. Состоит на вооружении трёх дивизий морской авиации, развёрнутых на Хайнане, в Шанхае и Северном театре военных действий (судя по всему, в провинции Шаньдун)[61][62]. Отслеживает 60—100 целей в радиусе 470 км. Испытывается модификация, оборудованная штангой топливозаправки[63].|
KJ-200||Китай|Нет данных|Самолёт ДРЛОиУ[62].|
WZ-7 (Xianglong)||Китай|Нет данных|Стратегический разведывательный БПЛА. Привлекался для слежки за американскими кораблями.|
CH-5||Китай|0|Проходит лётные испытания морская патрульная версия беспилотника[64]. Из-за менее мощного двигателя уступает по большинству лётно-технических характеристик, кроме продолжительности полёта, своему американскому конкуренту MQ-9B SeaGuardian[65]. Полезная нагрузка — до 1 тонны. Продолжительность автономного полёта — 60 часов. Дальность — 10 000 км. Практический потолок — 9 км. На фотографиях заметны подфюзеляжная РЛС и электронно-оптический прицельный комплекс.|
BZK-005||Китай|21[66]|Средневысотный разведывательный БПЛА.|
Самолёты радиоэлектронной борьбы|Самолёты радиоэлектронной борьбы|Самолёты радиоэлектронной борьбы|Самолёты радиоэлектронной борьбы|Самолёты радиоэлектронной борьбы|Самолёты радиоэлектронной борьбы
Y-9G (GX-11)||Китай|Нет данных|Cамолёт РЭБ[67].|
JH-7A||Китай|Нет данных|Истребитель-бомбардировщик может использоваться как самолёт РЭБ. Для этого предусмотрены постановщики помех KG600 и противорадиолокационные ракеты YJ-91, LD-10[68].|
J-16D||Китай|Нет данных|Cамолёт РЭБ, созданный на базе истребителя J-16. Имеет контейнеры РЭБ на законцовках крыльев, вооружён противорадиолокационными ракетами: YJ-91 (развитие X-31П), LD-10 (версия PL-12) и CM-102[69].|
J-15D||Китай|0|Палубный самолёт РЭБ, созданный на базе истребителя J-15[70]. Лётные испытания прототипа.|
Противолодочные самолёты|Противолодочные самолёты|Противолодочные самолёты|Противолодочные самолёты|Противолодочные самолёты|Противолодочные самолёты
KQ-200 (Y-8Q)||Китай|Нет данных|На фото отличим по магнитному обнаружителю в хвостовой части фюзеляжа. Это новый самолёт, находящийся в серийном производстве. Состоит на вооружении дивизий морской авиации Южного, Восточного и Северного театров военных действий. Сфотографирован на аэродромах Хайнаня, Шанхая и Даляня. Временно развёртывался на Парасельских островах и архипелаге Спратли.|
Бомбардировщики|Бомбардировщики|Бомбардировщики|Бомбардировщики|Бомбардировщики|Бомбардировщики
Xian H-6||Китай|~50|Около 20 H-6J + 30 H-6G[71][72]. Новая модификация H-6J (семейство H-6K) несёт 4—6 ПКР YJ-12 на внешних пилонах, имеет увеличенную дальность полёта[67].|
Истребители-бомбардировщики|Истребители-бомбардировщики|Истребители-бомбардировщики|Истребители-бомбардировщики|Истребители-бомбардировщики|Истребители-бомбардировщики
JH-7/7A||Китай|120[72]|Истребитель-бомбардировщик|
Истребители|Истребители|Истребители|Истребители|Истребители|Истребители
J-16||Китай|Нет данных|Модернизация Су-30МКК. Оснащены РЛС с АФАР и китайскими двигателями WS-10B. Вооружёны ракетами воздушного боя PL-10 и PL-15.|
Су-30МК2||Россия|24[72]|Поставлены во второй половине 2000-х|
J-15||Китай|~50[73]|Копия Су-33. Модернизирован Китаем для применения ракет PL-12 класса воздух-воздух и противокорабельных ракет YJ-83.|
J-11B/BS|||72[72]||
J-10A/S||Китай|24[72]|16 J-10A и 8 J-10S[72] Истребитель. Поставляется с 2010 года[72].|
Shenyang J-8H||Китай|24[72]|Истребитель-перехватчик|
Учебные самолёты|Учебные самолёты|Учебные самолёты|Учебные самолёты|Учебные самолёты|Учебные самолёты
JL-10||Россия Китай|Нет данных|Учебно-боевой самолёт. Может использоваться в качестве штурмовика.|
JL-9||Китай|Нет данных|Учебно-боевой самолёт.|
Hongdu JL-8||Китай Пакистан|12[74]|Учебно-боевой самолёт|
Прочие самолёты|Прочие самолёты|Прочие самолёты|Прочие самолёты|Прочие самолёты|Прочие самолёты
Y-20U||Китай|0|Самолёт-заправщик, созданный на базе транспортного самолёта Y-20[75]. Проходит лётные испытания с 2020 года.|
Xian H-6DU||Китай|3[72]|Самолёт-заправщик|
Y-8|||21[72]|4 Y-8, 4 Y-8JB, 3 Y-8X, 4 Y-8J. 6 Y-8W|
Y-9|||4[72]|4 Y-9JB[72]|
SH-5||Китай|3[76][72]|Многоцелевой самолёт-амфибия|
