Наименование|Производитель|Примечание
Z-5|Harbin|Копия Ми-4 , снят с вооружения
Z-6||Экспортные Ми-8Т и Ми-17
Z-7|Changhe|Разработка прекращена
Z-8|Changhe|Противолодочный, копия Aérospatiale Super Frelon
Z-9|Harbin|Многоцелевой вертолёт, копия Eurocopter Dauphin
Z-19|Harbin|Ударный вертолёт, основанный на Z-9
WZ-10|Changhe|Ударный вертолёт с тандемной кабиной
Z-11|Changhe|Лёгкий вертолёт общего назначения, копия AS350B Squirrel
EC-120|Harbin|Совместная разработка с Eurocopter
Z-15/EC-175|Harbin|средний вертолёт (6 т) общего назначения, совместная разработка с Eurocopter ; аналог Agusta A109
