День|Этап|Наименование этапа|Длина|Победитель|Автомобиль|Время|Лидер
9 сен|СУ1|Cosmote 5G Athens Stage|0.98 км|Себастьен Ожье|Toyota Yaris WRC|51.5|Себастьен Ожье
10 сен|СУ2|Aghii Theodori 1|17.54 км|Отт Тянак|Hyundai i20 Coupe WRC|13:15.8|Себастьен Ожье
10 сен|СУ3|Loutraki|19.40 км|Калле Рованпера|Toyota Yaris WRC|13:04.4|Калле Рованпера
10 сен|СУ4|Aghii Theodori 2|17.54 км|Калле Рованпера|Toyota Yaris WRC|13:10.3|Калле Рованпера
10 сен|СУ5|Thiva|23.27 км|Себастьен Ожье|Toyota Yaris WRC|15:25.2|Калле Рованпера
10 сен|СУ6|Elatia|11.65 км|Тьерри Невилль|Hyundai i20 Coupe WRC|5:58.1|Калле Рованпера
11 сен|СУ7|Pavliani 1|24.25 км|Калле Рованпера|Toyota Yaris WRC|19:27.7|Калле Рованпера
11 сен|СУ8|Gravia|24.81 км|Калле Рованпера|Toyota Yaris WRC|20:35.9|Калле Рованпера
11 сен|СУ9|Bauxites|22.97 км|Калле Рованпера|Toyota Yaris WRC|13:44.3|Калле Рованпера
11 сен|СУ10|Eleftherochori 1|18.14 км|Калле Рованпера|Toyota Yaris WRC|11:05.2|Калле Рованпера
11 сен|СУ11|Pavliani 2|24.25 км|Себастьен Ожье|Toyota Yaris WRC|19:10.6|Калле Рованпера
11 сен|СУ12|Eleftherochori 2|18.14 км|Отт Тянак|Hyundai i20 Coupe WRC|10:42.0|Калле Рованпера
12 сен|СУ13|Tarzan 1|23.37 км|Калле Рованпера|Toyota Yaris WRC|17:22.7|Калле Рованпера
12 сен|СУ14|Pyrgos|33.20 км|Отт Тянак|Hyundai i20 Coupe WRC|25:24.4|Калле Рованпера
12 сен|СУ15|Tarzan 2 (Power Stage)|12.68 км|Калле Рованпера|Toyota Yaris WRC|8:34.8|Калле Рованпера
