Название|Открыт|Закрыт|Архитекторы|Адрес|Примечания|Ссылки|Unnamed: 7
1 мая|1919|2012||ул. Советская, 31|Широкоэкранный кинотеатр со зрительным залом на 240 мест. До января 1940 года – «Адрия» на 260 мест.|[5]|
3D-кинозал ДК профсоюзов|2012|н/д||ул. Московская, 275|3D-кинозал на 160 зрителей.||
Автокинотеатр «Рандеву»|2013|2017||Стоянка городского парка культуры и отдыха|Автокинотеатр на 50 автомобилей с экраном 5 на 10 метров. Звук транслировался на радиочастоте 93,7 FM.||
Зорька|1961|н/д||Парк имени 1 Мая|Широкоэкранный детский кинотеатр с залом на 105 мест.|[5]|
Иллюзион|н/д|н/д||ул. Шоссейная|||
Кинотеатр Сарвера|н/д|н/д||ул. Свердлова, 4|Зал на 495 мест. Ранее – «Лотос». С 1940 – кинотеатр имени Горького.||
Летний|1958|н/д||Парк имени 1 Мая|Широкоэкранный кинотеатр с залом на 470 мест.|[5]|
Маяк|1964|н/д|М. Пак|ул. Сикорского, 76|Зрительный зал на 392 места. Специализировался на показе кинофильмов прошлых лет. Позже - кинотеатр «Юность».|[5][12]|
Мираж|н/д|1944||ул. 3 Мая, 14|Зал на 181 место. С 1940 – «КИМ».||
Свит|н/д|н/д||ул. Унии Любельской, 21|Зал на 398 мест.||
Смена|1946|1990-е||ул. К. Маркса, 37|Кинозал на 130 мест.|[5]|
Фантазия|н/д|н/д||ул. Шоссейная|||
Школьный кинотеатр|1925|н/д|||Открыт на базе кинотеатра железнодорожников.||
