Ф. И. О.|Титул, чин, звание|Время замещения должности
Броун Юрий Юрьевич|граф, генерал-аншеф|1782—18.09.1792
Репнин Николай Васильевич|князь, генерал-адъютант, генерал-фельдмаршал|30.09.1792—1798
Нагель Ларион Тимофеевич|действительный тайный советник|26.10.1798—26.09.1800
Пален Пётр Алексеевич|граф, генерал от кавалерии|26.09.1800—1801
Голицын Сергей Фёдорович|князь, генерал от инфантерии|1801—1803
Буксгевден Фёдор Фёдорович|граф, генерал от инфантерии|1803—1806
Тормасов Александр Петрович|генерал от кавалерии|1806—1808
Буксгевден Фёдор Фёдорович|граф, генерал от инфантерии|1808—1809
Лобанов-Ростовский Дмитрий Иванович|князь, генерал от инфантерии|07.12.1810—05.1812
Паулуччи Филипп Осипович|маркиз, генерал-лейтенант|17.10.1812—01.01.1830
Пален Матвей Иванович|барон, генерал-лейтенант|01.01.1830—28.03.1845
Головин Евгений Александрович|генерал от инфантерии|28.03.1845—01.01.1848
Суворов-Рымникский Александр Аркадьевич|граф Рымникский, князь Италийский, генерал-адъютант, генерал от инфантерии|01.01.1848—04.11.1861
Ливен Вильгельм Карлович|барон, генерал-адъютант, генерал от инфантерии|04.11.1861—15.12.1864
Шувалов Пётр Андреевич|граф, генерал-лейтенант|15.12.1864—18.04.1866
Баранов Эдуард Трофимович|граф, генерал-адъютант, генерал-лейтенант|18.04.1866—09.10.1866
Альбединский Пётр Павлович|генерал-адъютант, генерал-лейтенант|09.10.1866—22.09.1870
Багратион Пётр Романович|князь, генерал-лейтенант|22.09.1870—18.01.1876
