Театр|Спектакль|Постановка|Роль|Примечание
Театр им. Евгения Вахтангова (Москва)||||
Театр им. Евгения Вахтангова (Москва)|Дневник Анны ФранкФрэнсис Гудрич и Альберт Хаккет|Римас ТуминасЕкатерина Симонова|Анна Франкгл. роль|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Окаёмовы дниПо мотивам пьесы А. Афиногенова «Машенька»|Родион Овчинников|Машагл. роль|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Берег женщинХореографическая композиция по мотивам песен Марлен Дитрих|Анжелика ХолинаХореограф-постановщик|Near you|телеспектакль
Театр им. Евгения Вахтангова (Москва)|Дядюшкин сонФ. М. Достоевский, комедия в 2-х действиях|Владимир Иванов|Сонька|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Люди как людиПо пьесе М. Горького «Зыковы», сцены в 2-х частях|Владимир Иванов|Стёпка|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|БѣсыФ. М. Достоевский, Концертное исполнение романа в 2-х частях|Юрий Любимов|Даша|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|За двумя зайцами…М. Старицкий, комедия в 2-х действиях|Александр Горбань|Химка|
Театр им. Евгения Вахтангова (Москва)|МинеттиТомас Бернхард|Римас Туминас|Гостья отеля (маска)|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Вечер шутовБалаган в 2-х актах|Екатерина Симонова|Мальчикартистка цирка|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Белая акацияМузыкальный спектакль в 2-х действиях.|Владимир Иванов|Одесситка|
Театр им. Евгения Вахтангова (Москва)|Али-Баба и сорок разбойниковВолшебная сказка Шахрезады в 2 частях|Александр Горбань|Фатима|
Театр им. Евгения Вахтангова (Москва)|ПристаньСпектакль в 2-х действиях|Римас Туминас|Француженка|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Пиковая дамаА. С. Пушкин|Пётр Фоменко|Бедная родственница|
Театр им. Евгения Вахтангова (Москва)|Евгений ОнегинА. С. Пушкин|Римас Туминас|«Зайчик»|видеофрагмент
Театр им. Евгения Вахтангова (Москва)|Анна КаренинаХореографический спектакль по мотивам романа Льва Толстого|Анжелика Холина|Дама из высшего общества|видеофрагмент
Центр А. Казанцева и М. Рощина (Москва)|ВААЛПо пьесе Б. Брехта|Георг Жено|Иоганна|
Центр А. Казанцева и М. Рощина (Москва)|Третья сменаПавел Пряжко|Филипп Григорьян|Маринка|
Театр-студия «Квадрат» (Москва)|ЧайкаА. П. Чехов||Нина Заречная|
Театр-студия «Квадрат» (Москва)|ГрозаА. Н. Островский||Катерина|
