Год|Unnamed: 1|Название|Роль
1963|ф|Человек, который сомневается (киноальманах)|спортсмен, приятель Бориса (в титрах не указан)
1965|ф|Рано утром|парень, провожающий Надю
1968|ф|Три дня Виктора Чернышёва|Виктор Чернышёв
1969|ф|Вчера, сегодня и всегда|Сергей
1970|ф|Севастополь|Сергей Шелехов
1970|ф|Ночная смена|Евгений Грибов, диспетчер строительства
1971|ф|Тени исчезают в полдень|Федя Морозов
1971|ф|Поезд в далёкий август|Имя персонажа не указано
1971|ф|Человек в проходном дворе|Борис Вараксин
1972|ф|Илга-Иволга|Фёдор Полигин
1972|ф|Страница жизни (телеспектакль)|Костя
1973|ф|Чёрный принц|Ямцов
1973|ф|Горячий снег|Аржемачев, лейтенант
1973|тс|Разные люди|Котовский
1974|ф|Верный друг Санчо|Вадим, водитель
1974|ф|Потому что люблю|Николай Муравьёв
1974|ф|Трудные этажи|Анатолий Смирнов
1975|ф|Юркины рассветы|Василий Куренной
1975|ф|Маленький сержант / Borisek - malý serzhant|Климов
1975|ф|Переходим к любви|Леонид Шляхтич
1975|ф|Освобождение Праги / Osvobození Prahy|Гончаренко
1976|ф|Жить по-своему|Сергей
1976|ф|Память земли|Голиков
1977|ф|Кафе «Изотоп»|Харламов
1977|ф|Солдаты свободы|Морозов, лейтенант
1978|ф|Голубка|Александр Чуркин
1978|ф|Схватка в пурге|Игорь Лужин
1978|ф|Трактир на Пятницкой|Василий Васильевич Климов, начальник милиции
1978|ф|В день праздника|Василий, сын Гринина
1978|ф|И ты увидишь небо|Дронов, лейтенант
1978|ф|Счёт человеческий|Имя персонажа не указано
1979|ф|Утренние звёзды / Gwiazdy poranne (ЧССР)|Уланов, советский танкист
1980|ф|Алёша|Аркадий Николаевич, директор техникума
1980|ф|Желаю успеха|Пётр Северин
1980|ф|Коней на переправе не меняют|Малышев, парторг стройки
1981|ф|Кольцо из Амстердама|Краснов, майор госбезопасности
1981|ф|Послезавтра, в полночь|Ершов
1982|ф|В последнюю очередь|Имя персонажа не указано
1982|ф|Наследница по прямой|отец Володи
1982|ф|Инспектор Лосев|Пётр Горохов, уголовник
1983|ф|Дважды рождённый|капитан
1984|ф|Кто сильнее его|Степан
1984|ф|Первая конная|Ефремов
1985|ф|Батальоны просят огня|Семынин, майор
1985|ф|Иван Бабушкин|Симбирцев
1985|ф|Контрудар|Крайнюков, генерал
1986|ф|Размах крыльев|пассажир 1-го салона
1986|ф|Рысь возвращается|Гвоздь
1986|ф|Государственная граница. Год сорок первый|Свиридов
1987|ф|Долина мести|Имя персонажа не указано
1987|ф|Причалы|Фёдор Степанович Дёмин, боцман с траулера «Даурия»
1987|ф|Государственная граница. За порогом победы|Свиридов
1988|ф|Белые вороны|Виктор Акимович, отец Насти
1989|ф|Бывший папа, бывший сын|сожитель Клавы
1990|ф|Неизвестные страницы из жизни разведчика|Притула, батальонный комиссар
1991|ф|Глухомань|Виктор Колосов
1992|ф|Осколок «Челленджера»|пилот
1993|ф|Зачем алиби честному человеку?|свидетель
1998|ф|Отражение|дядя Гена
2000|ф|Президент и его внучка|мужик у пивного ларька
2001|ф|Ночь на кордоне|Аржанов, лесник
2001|ф|Сыщик с плохим характером|алкоголик
2007|ф|Диверсант 2: Конец войны|Аркадьич
