№|№ на карте|Мухафаза|араб.|Вилайеты|Административный центр|Площадь,км²|Население[6],Перепись 2010|Плотность,чел./км²|Unnamed: 9
1|7|Дофар (Зуфар)|محافظة ظفار|10|Салала|99 300|249 729|251|
2|9|Маскат|محافظة مسقط|6|Эс-Сиб|3500|775 878|22168|
3|8|Мусандам|محافظة مسندم|4|Эль-Хасаб|1 800|31 425|1746|
4|3|Северная Эль-Батина1)|منطقة الباطنة||Сухар||483 582||
5|3|Южная Эль-Батина1)|منطقة الباطنة||Эр-Рустак||289 008||
6|6|Северная Эш-Шаркия2)|المنطق الشرقية||Ибра||146 449||
7|6|Южная Эш-Шаркия2)|المنطقة الشرقية||Сур||204 065||
8|1|Эд-Дахилия|منطقة الداخلية|8|Назва|31 900|326 651|1024|
9|2|Эз-Захира3)|منطقة الظاهرة|3|Ибри|37 000|151 664|410|
10|4|Эль-Бурайми3)|محافظة البريمي|3|Эль-Бурайми|7 000|72 917|1042|
11|5|Эль-Вуста|المنطقة الوسطى|4|Хайма|79 700|42 111|053|
Итого||Оман|سلطنة عمان|62|Маскат|309 500|2 773 479|896|
1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.|1)До 2011 года общая площадь северной и южной Эль-Батины была 12 500 км². Новые площади уточняются.
2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.|2)До 2011 года общая площадь северной и южной Эш-Шаркии была 36 800 км². Новые площади уточняются.
3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.|3)Бурайми было сформировано из частей региона Эд-Дахира 15 октября 2006 указом Султана № 108. Общая площадь была 44 000 км². Новые площади уточняются.
