Страны|всего (чел.)|родной язык (чел.)
Украина|36 800 000|12 000 000
Казахстан|13 500 000|2 500 000
Узбекистан|11 800 000|900 000
Белоруссия|8 992 000|3 948 000
Азербайджан|4 900 000|140 000
Киргизия|2 700 000|400 000
Таджикистан|2 500 000|50 000
Грузия|2 400 000|67 500
Армения|2 100 000|10 000
Латвия|1 800 000|680 000
Молдавия|1 700 000|250 000
Литва|1 300 000|180 000
Эстония|950 000|400 000
Туркмения|900 000|150 000
Приднестровье|500 000|300 000
Абхазия|450 000|25 000
Южная Осетия|50 000|25 000
