№ на карте|Провинции/Округ|Административный центр|Население,[15](2010) чел.|Место|Площадь,[16]км²|Место.1|Плотность,чел./км²|Место.2
1.0|Федеральная столица Буэнос-Айрес|—|2 890 151|4.0|200|24.0|14 450,76|1.0
2.0|Буэнос-Айрес|Ла-Плата|15 625 084|1.0|307 571|1.0|5080|3.0
3.0|Катамарка|Сан-Фернандо-дель-Валье-де-Катамарка|367 828|20.0|102 602|11.0|358|20.0
4.0|Чако|Ресистенсия|1 055 259|10.0|99 633|12.0|1059|11.0
5.0|Чубут|Росон|509 108|18.0|224 686|3.0|227|22.0
6.0|Кордова|Кордова|3 308 876|2.0|165 321|5.0|2001|6.0
7.0|Корриентес|Корриентес|992 595|11.0|88 199|16.0|1125|10.0
8.0|Энтре-Риос|Парана|1 235 994|7.0|78 781|17.0|1569|7.0
9.0|Формоса|Формоса|530 162|17.0|72 066|19.0|736|14.0
10.0|Жужуй|Сан-Сальвадор-де-Жужуй|673 307|14.0|53 219|20.0|1265|8.0
11.0|Ла-Пампа|Санта-Роса|318 951|22.0|143 440|8.0|222|23.0
12.0|Ла-Риоха|Ла-Риоха|333 642|21.0|89 680|14.0|372|19.0
13.0|Мендоса|Мендоса|1 738 929|5.0|148 827|7.0|1168|9.0
14.0|Мисьонес|Посадас|1 101 593|9.0|29 801|21.0|3696|4.0
15.0|Неукен|Неукен|551 266|16.0|94 078|13.0|586|17.0
16.0|Рио-Негро|Вьедма|638 645|15.0|203 013|4.0|315|21.0
17.0|Сальта|Сальта|1 214 441|8.0|155 488|6.0|781|12.0
18.0|Сан-Хуан|Сан-Хуан|681 055|13.0|89 651|15.0|760|13.0
19.0|Сан-Луис|Сан-Луис|432 310|19.0|76 748|18.0|563|18.0
20.0|Санта-Крус|Рио-Гальегос|273 964|23.0|243 943|2.0|112|24.0
21.0|Санта-Фе|Санта-Фе|3 194 537|3.0|133 007|10.0|2402|5.0
22.0|Сантьяго-дель-Эстеро|Сантьяго-дель-Эстеро|874 006|12.0|136 351|9.0|641|15.0
23.0|Огненная Земля, Антарктида и острова Южной Атлантики[17]|Ушуая|127 205|24.0|21 263[17]|23.0|5,98[17]|16.0
24.0|Тукуман|Сан-Мигель-де-Тукуман|1 448 188|6.0|22 524|22.0|6430|2.0
|Всего||40 117 096||2 780 092||1443|
