Регион|Территория[Комм 8] тыс. квадратных вёрст[Комм 9]|Число|Число|Число|Число
Регион|Территория[Комм 8] тыс. квадратных вёрст[Комм 9]|Городов|Посадов|Сельских обществ|Других поселений
Европейская Россия|4 250 574,8|638|51|121 837|511 599
Привислинский край (губернии)|99 691,1|105|—|24 823|40 850
Кавказ|412 310,8|51|3|3994|12 636
Сибирь|10 996 345,5|51|—|10 656|14 614
Туркестан и Степные области|3 110 623,7|48|—|8038|9594
Финляндия|286 041,8|38|—|—|9988
Всего по Империи|19 155 587,7|931|54|169 348|599 281
Без Финляндии|18 869 545,9|893|54|169 348|589 293
