Частота, МГц|Радиостанция|Unnamed: 2|Частота, МГц.1|Радиостанция.1
66.44|*Незанятая частота||967.0|Радио Алла (Молдова)
69.44|Маленький Самаритянин||972.0|Radio Plai
71.0|*Незанятая частота||977.0|Маэстро FM
7157.0|Vocea Basarabiei||99.7|Radio Noroc
87.6|Стильное Радио||1001.0|Jurnal FM
88.0|Муз FM (Молдова)||1009.0|Kiss FM (Молдова)
88.6|Megapolis FM (Молдова)||1013.0|Радио Русский Хит (Молдова)
891.0|Ретро FM (Молдова)||1017.0|Хит FM (Молдова)
896.0|Radio Chișinău||1027.0|Radio 21 (Молдова)
907.0|Aquarelle FM||1032.0|АвтоРадио (Молдова)
911.0|Super Radio||1037.0|POLI DISC — Новое радио
916.0|National FM (Moldova)||1042.0|Маленький Самаритянин
921.0|Publika FM||1047.0|Datina FM
928.0|Univers FM||1052.0|Радио 7 на семи холмах
933.0|Radio ZUM||1059.0|Fresh FM
940.0|Радио Молдова||1064.0|Европа Плюс Молдова
962.0|Discovery FM||1069.0|PRO FM
