Год|Название|Высшая позиция в чартах|Высшая позиция в чартах|Высшая позиция в чартах|Высшая позиция в чартах|Высшая позиция в чартах|Альбом
Год|Название|Еженедельные чарты|Еженедельные чарты|Еженедельные чарты|Ежемесячные чарты|Ежемесячные чарты|Альбом
Год|Название|РоссияYouTube Hits[28]|УкраинаYouTube Hits[29]|УкраинаRadio & YouTube Hits[30]|РоссияYouTube Hits[31]|УкраинаYouTube Hits[32]|Альбом
2019|«На ходу»|—|—|—|—|—|Внеальбомный сингл
2019|«Ariflame»|—|—|—|—|—|«Трипл малыш»
2019|«Heavy Metal»|—|—|—|—|—|«Трипл малыш»
2019|«Splash Out»|—|—|—|—|—|Внеальбомные синглы
2019|«Kupidon»|—|—|—|—|—|Внеальбомные синглы
2019|«Моё имя Даша»|—|—|—|—|—|Внеальбомные синглы
2019|«Tripple Baby Tour»|—|—|—|—|—|Внеальбомные синглы
2019|«Hater»|—|—|—|—|—|Внеальбомные синглы
2019|«GTA»(совм. с CMH)|—|—|—|—|—|Внеальбомные синглы
2019|«Мы крутые»(совм. с Moneyken)|—|—|—|—|—|Внеальбомные синглы
2020|«Uebok (Gotta Run)»(совм. с Apashe)|—|—|—|—|—|Renaissance Album(альбом Apashe)
2020|«Когда меня рожали» (ранее — «АУЕ»[33])(совм. с CMH)|—|—|—|—|—|Внеальбомные синглы
2020|«Polaroid»[34]|—|—|—|—|—|Внеальбомные синглы
2020|«Интервью»[35]|—|—|—|—|—|Внеальбомные синглы
2020|«Bloody Party»[36][37]|70[38]|68[39]|—|—|—|Внеальбомные синглы
2020|«RPG»(совм. с CMH и Пашей Техником)|—|—|—|—|—|Внеальбомные синглы
2020|«Word Up»|—|—|—|—|—|Внеальбомные синглы
2020|«Витон»(совм. с Moneyken)|40|51|85|88|95|Внеальбомные синглы
2020|«Факт»|70|35|60|69|48|Внеальбомные синглы
2020|«Гоба»(совм. с Ганвестом и Moneyken)|—|—|—|—|—|Внеальбомные синглы
2021|«Mommy»|—|—|—|—|—|Внеальбомные синглы
2021|«Money Day»|—|—|—|—|—|Внеальбомные синглы
2021|«Juicy»|8|14|27|12|19|Внеальбомные синглы
2021|«Terminal»(совм. с Витей АК)|—|—|—|—|—|Внеальбомные синглы
2021|«Lipsi Ha»|—|—|—|—|—|Внеальбомные синглы
2021|||||||
