Название|Автор(ы) песни|Год|Альбом|.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}Ист.
«#1»|Николай Христов|2019|Sold Out|[12]
«40 градусов»|Дмитрий Монатик, Светлана Лобода|2012|без альбома|[14]
«Ангелок»|Игорь Майский|2020|Superstar Show Live|[15]
«В зоне риска»|Денис Ковальский|2019|Sold Out|[12]
«В этом проблема»|Светлана Лобода|2008|«Не ма4о»|[2]
«Возьми»|Светлана Лобода|2005|«Ты не забудешь»|[1]
«Город под запретом»|Светлана Лобода, Сергей Немировский|2013|без альбома|[16]
«Дай мне»|Тарас Демчук|2005|«Ты не забудешь»|[1]
«Жарко» (совместно с Monatik’ом)|Дмитрий Монатик|2017|H2LO|[17]
«Живи спокойно, страна»|Лариса Рубальская, Игорь Николаев|2019|без альбома|[18]
«Жить легко»|Светлана Лобода|2010|без альбома|[19]
«За что?»|Светлана Лобода|2008|«Не ма4о»|[2]
«К чёрту любовь»|Олег Влади|2016|H2LO|[20]
«Кохана»|Николай Мозговой|2013|без альбома|[4]
«Крыса-ревность»|Григорий Лепс, Константин Арсенев|2017|без альбома|[21]
«Лети»|Дмитрий Лорен|2018|«Гоголь. Вий»|[22]
«Малыш»|Сергей Сумчаков|2021|без альбома|[23]
«Мира мало»|Артём Пивоваров, Артём Иванов|2019|без альбома|[24]
«Мишка, гадкий мальчишка»|Светлана Лобода, Борис Кукоба|2008|«Не ма4о»|[2]
«Мой»|Кирилл Павлов, Артём Иванов|2020|без альбома|[25]
«На свете»|Светлана Лобода, Евгений Матюшенко, Kaffein|2011|без альбома|[26]
«Назначаю своим»|Светлана Лобода, Ярослав Щогла|2008|«Не ма4о»|[2]
«Нафиг нужен мне»|Светлана Лобода|2010|без альбома|[19]
«Не мачо»|Светлана Лобода, Диана Гольдэ|2008|«Не ма4о»|[2]
«Не нужна»|Рита Дакота, Светлана Лобода|2014|H2LO|[27]
«Не покидай»|Светлана Лобода, Иван Розин, Диана Гольдэ|2008|«Не ма4о»|[2]
«Невеста»|Рита Дакота|2017|H2LO|[17]
«Нікому то не треба»|Андрей Кузьменко|2015|«Скрябін: Концерт пам’яті»|[28]
«Новый Рим»|Артём Иванов, Анатолий Алексеев|2019|Sold Out|[12]
«Облака»|Светлана Лобода, Марина Баринова|2012|без альбома|[29]
«Облиш»|Андрей Осадчук|2015|без альбома|[5]
«Одной масти»|Toskana|2017|H2LO|[17]
«Парень, ты ничё»|Светлана Лобода|2009|Anti-Crisis Girl|[3]
«Парень»|Артём Иванов|2017|без альбома|[30]
«Париж»|Никита Киселёв|2017|H2LO|[17]
