Год|Выставка|Награда[23][24][25]
1867|Всемирная выставка в Париже|Большая серебряная медаль
1870|Всероссийская мануфактурная выставка в Петербурге|Большая золотая медаль
1872|Политехническая выставка в Москве|Большая золотая медаль
1873|Всемирная выставка в Вене|Большая золотая медаль
1876|Всемирная выставка в Филадельфии|Бронзовая медаль
1882|Всероссийская выставке в Москве|Серебряная медаль
1887|Сибирско-Уральская выставка в Екатеринбурге|Большая серебряная медаль
1888|Выставка в Копенгагене|Почётный диплом
1896|Всероссийская художественно-промышленная выставка в Нижнем Новгороде|Высшая награда: право пользоваться изображением государственного герба
1897|Международная выставка в Стокгольме|Золотая медаль
1900|Всемирная выставка в Париже|Каслинский чугунный павильон был удостоен высшей награды Гран-при и Большой золотой медали
1906|Промышленная выставка в Милане|Большая золотая медаль
1914|Балтийская промышленная выставка в Мальмё|Почётный диплом
