Этнос|Кол-во|% от общего*
Белые||8717
Азиаты или британские азиаты: всего||692
Азиаты или британские азиаты: индийцы||230
Азиаты или британские азиаты: пакистанцы||186
Азиаты или британские азиаты: бангладешцы||071
Азиаты или британские азиаты: китайцы||069
Азиаты или британские азиаты: другие||136
Чернокожие или британские чернокожие||301
Смешанные||198
Другие||092
* Процент от всего населения Британии в соответствии с переписью 2011 года|* Процент от всего населения Британии в соответствии с переписью 2011 года|* Процент от всего населения Британии в соответствии с переписью 2011 года
