Организация|Исследование|Место
Проект «Свобода в странах мира»|Индекс свободы стран мира[118]|3 из 159
Программа ООН по развитию|Индекс развития человеческого потенциала[119]|4 из 182
Всемирный банк|Лёгкость ведения бизнеса, 2009 год[120]|8 из 181
Экономист|Мир в 2005 году. Международный индекс уровня жизни 2005 год[121]|14 из 111
Йельский университет/Колумбийский университет|Индекс устойчивости окружающей среды, 2005 год[122]|6 из 146
Репортёры без границ|Индекс свободы прессы 2009 год[123]|19 из 175
Transparency International|Коррупционный индекс 2010 год[124]|6 из 180
Institute for Economics & Peace|Рейтинг миролюбия[125]|8 из 144
Фонд за мир без войны|Индекс нестабильных государств, 2009 год[126]|166 из 177[127]
Мировой экономический форум|Отчёт о мировой конкурентоспособности[128]|9 из 133
Экономист|Индекс демократии[129]|11 из 167
