Оригинальное название|Первая публикация|Русское название|Переводчик|Год публикации|Примечания
«Courrier Sud»|Éditions Gallimard, 1929|«Южный почтовый»|Марина Баранович|1960|
«Courrier Sud»|Éditions Gallimard, 1929|«Южный почтовый»|Дмитрий Кузьмин|2000|
«Courrier Sud»|Éditions Gallimard, 1929|«Почта — на юг»|Т. Исаева|1963|
«Vol de nuit»|Éditions Gallimard, 1931|«Ночной полёт»|Морис Ваксмахер|1962|премия «Фемина», 1931
«Terre des hommes»|Éditions Gallimard, 1938|«Планета людей»|Нора Галь|1963|Большая премия Французской академии за роман, 1939Nation Book award USA, 1940
«Terre des hommes»|Éditions Gallimard, 1938|«Земля людей»|Гораций Велле|1957|Большая премия Французской академии за роман, 1939Nation Book award USA, 1940
«Pilote de guerre»|Éditions Gallimard, 1942|«Военный лётчик»|Анна Тетеревникова|1963|
«Lettre à un otage»|Éditions Gallimard, 1943|«Письмо заложнику»|Марина Баранович|1960|
«Lettre à un otage»|Éditions Gallimard, 1943|«Письмо заложнику»|Рид Грачёв|1963|
«Lettre à un otage»|Éditions Gallimard, 1943|«Письмо заложнику»|Нора Галь|1972|
«Le petit prince»|Reynal and Hitchcock, 1943|«Маленький принц»|Нора Галь|1958|Впервые опубликовано в Нью-Йорке одновременно на французском и английском языках
«Citadelle»фр. (или «Kaid»)|Éditions Gallimard, 1948|«Цитадель»|Марианна Кожевникова|1996|Не закончена. Опубликовано после смерти автора
