№|Unnamed: 1_level_0|Глава правительства|В должности|В должности|Партия
Председатели Совета Народных Комиссаров СССР|Председатели Совета Народных Комиссаров СССР|Председатели Совета Народных Комиссаров СССР|Председатели Совета Народных Комиссаров СССР|Председатели Совета Народных Комиссаров СССР.1|Председатели Совета Народных Комиссаров СССР
1||Владимир Ильич Ленин|6 июля 1923|21 января 1924|РКП(б)
2||Алексей Иванович Рыков|2 февраля 1924|19 декабря 1930|РКП(б) / ВКП(б)
3||Вячеслав Михайлович Молотов|19 декабря 1930|6 мая 1941|ВКП(б)
4||Иосиф Виссарионович Сталин|6 мая 1941|15 марта 1946|ВКП(б)
Председатели Совета Министров СССР|Председатели Совета Министров СССР|Председатели Совета Министров СССР|Председатели Совета Министров СССР|Председатели Совета Министров СССР|Председатели Совета Министров СССР
4||Иосиф Виссарионович Сталин|15 марта 1946|5 марта 1953|ВКП(б) / КПСС
5||Георгий Максимилианович Маленков|5 марта 1953|8 февраля 1955|КПСС
6||Николай Александрович Булганин|8 февраля 1955|27 марта 1958|КПСС
7||Никита Сергеевич Хрущёв|27 марта 1958|15 октября 1964|КПСС
8||Алексей Николаевич Косыгин|15 октября 1964|23 октября 1980|КПСС
9||Николай Александрович Тихонов|23 октября 1980|27 сентября 1985|КПСС
10||Николай Иванович Рыжков|27 сентября 1985|14 января 1991|КПСС
Премьер-министры СССР (руководители Кабинета Министров СССР)|Премьер-министры СССР (руководители Кабинета Министров СССР)|Премьер-министры СССР (руководители Кабинета Министров СССР)|Премьер-министры СССР (руководители Кабинета Министров СССР)|Премьер-министры СССР (руководители Кабинета Министров СССР)|Премьер-министры СССР (руководители Кабинета Министров СССР)
11||Валентин Сергеевич Павлов|14 января 1991|28 августа 1991|КПСС
(и. о.)||Виталий Хуссейнович Догужиев|19 августа 1991[7]|28 августа 1991[8]|КПСС
Руководитель Комитета по оперативному управлению народным хозяйством СССР|Руководитель Комитета по оперативному управлению народным хозяйством СССР|Руководитель Комитета по оперативному управлению народным хозяйством СССР|Руководитель Комитета по оперативному управлению народным хозяйством СССР|Руководитель Комитета по оперативному управлению народным хозяйством СССР|Руководитель Комитета по оперативному управлению народным хозяйством СССР
12||Иван Степанович Силаев|24 августа 1991|26 декабря 1991|КПСС/без партии[9]
Председатель Межреспубликанского экономического комитета СССР|Председатель Межреспубликанского экономического комитета СССР|Председатель Межреспубликанского экономического комитета СССР|Председатель Межреспубликанского экономического комитета СССР|Председатель Межреспубликанского экономического комитета СССР|Председатель Межреспубликанского экономического комитета СССР
12||Иван Степанович Силаев|20 сентября 1991|14 ноября 1991|КПСС/без партии[9]
Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества|Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества|Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества|Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества|Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества|Председатель Межгосударственного экономического комитета — Премьер-министр Экономического сообщества
12||Иван Степанович Силаев|14 ноября 1991|26 декабря 1991|без партии[9]
