Год|Победительница|Финалистка|Счёт|Unnamed: 4
Чарлстон, Южная Каролина|Чарлстон, Южная Каролина|Чарлстон, Южная Каролина|Чарлстон, Южная Каролина|Чарлстон, Южная Каролина
2021|Вероника Кудерметова|Данка Ковинич|6-4 6-2|
2020|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса
2019|Мэдисон Киз|Каролина Возняцки|7-6(5) 6-3|
2018|Кики Бертенс|Юлия Гёргес|6-2 6-1|
2017|Дарья Касаткина|Елена Остапенко|6-3 6-1|
2016|Слоан Стивенс|Елена Веснина|7-6(4) 6-2|
2015|Анжелика Кербер|Мэдисон Киз|6-2 4-6 7-5|
2014|Андреа Петкович|Яна Чепелова|7-5 6-2|
2013|Серена Уильямс (3)|Елена Янкович|3-6 6-0 6-2|
2012|Серена Уильямс (2)|Луция Шафаржова|6-0 6-1|
2011|Каролина Возняцки|Елена Веснина|6-2 6-3|
2010|Саманта Стосур|Вера Звонарёва|6-0 6-3|
2009|Сабина Лисицки|Каролина Возняцки|6-2 6-4|
2008|Серена Уильямс|Вера Звонарёва|6-4 3-6 6-3|
2007|Елена Янкович|Динара Сафина|6-2 6-2|
2006|Надежда Петрова|Патти Шнидер|6-3 4-6 6-1|
2005|Жюстин Энен-Арден (2)|Елена Дементьева|7-5 6-4|
2004|Винус Уильямс|Кончита Мартинес|2-6 6-2 6-1|
2003|Жюстин Энен-Арден|Серена Уильямс|6-3 6-4|
2002|Ива Майоли|Патти Шнидер|7-6(5) 6-4|
2001|Дженнифер Каприати|Мартина Хингис|6-0 4-6 6-4|
Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|
2000|Мари Пьерс|Аранча Санчес-Викарио|6-1 6-0|
1999|Мартина Хингис (2)|Анна Курникова|6-4 6-3|
1998|Аманда Кётцер|Ирина Спырля|6-3 6-4|
1997|Мартина Хингис|Моника Селеш|3-6 6-3 7-6(5)|
1996|Аранча Санчес-Викарио|Барбара Паулюс|6-2 2-6 6-2|
1995|Кончита Мартинес (2)|Магдалена Малеева|6-1 6-1|
1994|Кончита Мартинес|Наталья Зверева|6-4 6-0|
1993|Штеффи Граф (4)|Аранча Санчес-Викарио|7-6(8) 6-1|
1992|Габриэла Сабатини (2)|Кончита Мартинес|6-1 6-4|
1991|Габриэла Сабатини|Лейла Месхи|6-1 6-1|
1990|Мартина Навратилова (4)|Дженнифер Каприати|6-2 6-4|
1989|Штеффи Граф (3)|Наталья Зверева|6-1 6-1|
1988|Мартина Навратилова (3)|Габриэла Сабатини|6-1 4-6 6-4|
1987|Штеффи Граф (2)|Мануэла Малеева|6-2 4-6 6-3|
1986|Штеффи Граф|Крис Эверт|6-4 7-5|
1985|Крис Эверт (8)|Габриэла Сабатини|6-4 6-0|
1984|Крис Эверт (7)|Клаудиа Коде-Кильш|6-2 6-3|
1983|Мартина Навратилова (2)|Трейси Остин|5-7 6-1 6-0|
1982|Мартина Навратилова|Андреа Джегер|6-4 6-2|
1981|Крис Эверт (6)|Пэм Шрайвер|6-3 6-2|
1980|Трейси Остин (2)|Регина Маршикова|3-6 6-1 6-0|
1979|Трейси Остин|Керри Мелвилл-Рид|7-6(3) 7-6(7)|
1978|Крис Эверт (5)|Керри Мелвилл-Рид|6-2 6-0|
1977|Крис Эверт (4)|Билли-Джин Кинг|6-0 6-1|
Амелия-Айленд, Флорида|Амелия-Айленд, Флорида|Амелия-Айленд, Флорида|Амелия-Айленд, Флорида|
1976|Крис Эверт (3)|Керри Мелвилл-Рид|6-2 6-2|
1975|Крис Эверт (2)|Мартина Навратилова|7-5 6-4|
Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|Хилтон-Хед-Айленд, Южная Каролина|
1974|Крис Эверт|Керри Мелвилл-Рид|6-1 6-3|
1973|Розмари Казальс|Нэнси Ричи-Гюнтер|3-6 6-1 7-5|
