Статистика[7][8]|Статистика[7][8]|Статистика[7][8]|Статистика[7][8]|Статистика[7][8]|Статистика[7][8]|Статистика[7][8]
№|Дата|Место проведения|Соперник|Счёт|Голы|Соревнование
1|5 февраля 1986|«Оранж Боул», Майами, США|Канада|0:0|—|Турнир Майами
2|7 февраля 1986|«Оранж Боул», Майами, США|Уругвай|1:1|—|Турнир Майами
—|23 мая 1987|Сент-Джонс, Канада|Канада|0:2|—|Квалификация Предолимпийского турнира КОНКАКАФ 1988
—|30 мая 1987|Фентон, США|Канада|3:0|2|Квалификация Предолимпийского турнира КОНКАКАФ 1988
—|5 сентября 1987|Фентон, США|Тринидад и Тобаго|4:1|3|Предолимпийский турнир КОНКАКАФ 1988
—|20 сентября 1987|«Куинс Парк Овал», Порт-оф-Спейн, Тринидад и Тобаго|Тринидад и Тобаго|1:0|—|Предолимпийский турнир КОНКАКАФ 1988
—|18 октября 1987|Сан-Сальвадор, Сальвадор|Сальвадор|4:2|1|Предолимпийский турнир КОНКАКАФ 1988
3|14 мая 1988|«Оранж Боул», Майами, США|Колумбия|0:2|—|Товарищеский матч
—|25 мая 1988|Индианаполис, США|Сальвадор|4:1|2|Предолимпийский турнир КОНКАКАФ 1988
—|18 сентября 1988|Гражданский стадион, Тэгу, Республика Корея|Аргентина|1:1|—|Летние Олимпийские игры 1988
—|20 сентября 1988|«Пусан Кудок», Пусан, Республика Корея|Республика Корея|0:0|—|Летние Олимпийские игры 1988
—|22 сентября 1988|Гражданский стадион, Тэгу, Республика Корея|СССР|2:4|1|Летние Олимпийские игры 1988
4|16 апреля 1989|«Рикардо Саприсса», Сан-Хосе, Коста-Рика|Коста-Рика|0:1|—|Чемпионат наций КОНКАКАФ 1989
5|30 апреля 1989|«Биг Арк Стэдиум», Сент-Луис, США|Коста-Рика|1:0|—|Чемпионат наций КОНКАКАФ 1989
6|13 мая 1989|«Мёрдок Стэдиум», Торранс, США|Тринидад и Тобаго|1:1|—|Чемпионат наций КОНКАКАФ 1989
7|2 февраля 1990|«Оранж Боул», Майами, США|Коста-Рика|0:2|—|Турнир Майами
8|4 февраля 1990|«Оранж Боул», Майами, США|Колумбия|1:1(8:9 по пен.)|—|Турнир Майами
