Год|Город|Соревнование|+|-|=|Результат|Место
1992.0|Римавска-Собота|Юношеский чемпионат Европы (до 12 лет)|||||[19]
1993.0|Братислава|Юношеский чемпионат мира (до 12 лет)|||||[20]
1994.0|Бэйле-Еркулане|Юношеский чемпионат Европы (до 14 лет)|||||[21]
1995.0|Сан-Лоренсу|Юношеский чемпионат мира (до 14 лет)|||||[22]
1996.0|Римавска-Собота|Юношеский чемпионат Европы (до 16 лет)|||||[23]
1997.0|Любляна|Чемпионат Словении|5.0|4.0|1.0|5½ из 10|5—6[24][25]
1998.0|Мурэкк|Юношеский чемпионат Европы (до 18 лет)|||||[26]
|Оропеса-дель-Мар|Юношеский чемпионат мира (до 18 лет)|6.0|3.0|2.0|7 из 11|7—10[27]
|Тапольца|Международный турнир|8.0|1.0|2.0|9 из 11|1—2[28]
|Марибор|Чемпионат Словении|3.0|3.0|3.0|4½ из 9|5—7[29]
1999.0|Литохорон|Юношеский чемпионат Европы|||||[26]
|Крань|Чемпионат Словении|5.0|3.0|1.0|5½ из 9|4—5[30][31]
2000.0|Ереван|Юниорский чемпионат мира|5.0|3.0|5.0|7½ из 13|5—11[22]
|Шкофья-Лока|Чемпионат Словении|||||[24]
2001.0|Патры|Юниорский чемпионат Европы|||||[21]
|Афины|Юниорский чемпионат мира|||||[32]
|Гриже|Чемпионат Словении|6.0|1.0|2.0|7 из 9|1
|Леон|Командный чемпионат Европы (сборная Словении, 2-я доска)|4.0|0.0|3.0|5½ из 7|на доске
2002.0|Риека|Международный турнир|3.0|1.0|5.0|5½ из 9|4[33]
|Варна|Чемпионат Европы|4.0|5.0|2.0|5 из 11|[34]
|Добрна|Чемпионат Словении|||||2[24][35]
|Сан-Венсан|Кубок Митропы (сборная Словении, 2-я доска)|6.0|0.0|1.0|6½ из 7|Команда — ,  на доске
|Блед|XX Олимпиада (сборная Словении, 3-я доска)|7.0|3.0|2.0|8 из 12|
2003.0|Риека|Международный турнир|0.0|5.0|4.0|2 из 9|9[36]
|Пунат|Международный турнир|2.0|5.0|4.0|4 из 11|10[37]
|Блед|Чемпионат Словении|5.0|2.0|2.0|6 из 9|3[24][25]
|Пловдив|Командный чемпионат Европы (сборная Словении, запасная)|3.0|1.0|2.0|4 из 6|на доске
|Птуй|Международный турнир|2.0|6.0|1.0|2½ из 9|8—10[24]
2004.0|Марибор|Чемпионат Словении|||||1
|Кальвия|XXI Олимпиада (сборная Словении, 3-я доска)|5.0|4.0|0.0|5 из 9|
|Монтекатини-Терме|Международный турнир|4.0|1.0|6.0|7 из 11|3—4[38][39]
2005.0|Монтекатини-Терме|Международный турнир|2.0|5.0|4.0|4 из 11|9—11[40]
|Рим|Международный турнир|2.0|2.0|7.0|5½ из 11|6[40]
|Гетеборг|Командный чемпионат Европы (сборная Словении, 4-я доска)|1.0|5.0|2.0|2 из 7|
2008.0|Любляна|Чемпионат Словении|||||3[41]
2010.0|Ханты-Мансийск|XXIV Олимпиада (сборная Словении, 3-я доска)|1.0|4.0|4.0|3 из 9|
2011.0|Любляна|Чемпионат Словении|||||2[42]
2013.0|Белград|Чемпионат Европы|4.0|4.0|3.0|5½ из 11|[43]
|Варшава|Командный чемпионат Европы (сборная Словении, ?-я доска)|3.0|3.0|1.0|3½ из 7|
2017.0|Крит|Командный чемпионат Европы (сборная Словении, ?-я доска)|0.0|3.0|2.0|1 из 5|
2018.0|Батуми|XXVIII Олимпиада (сборная Словении, 4-я доска)|2.0|3.0|0.0|2 из 5|
