0|1|2|3|4|5|6|7|8|9|10
Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021|Таблица 1. Парк реакторов АЭС Японии с 01.12.1960 по 01.01.2021
п/п|Наименование реактора|Тип реактора|Статус|Местонахождение|Установленная мощность-нетто, МВт|Установленная мощность-брутто, МВт|Начало строительства|Первое включение в сеть|Ввод в эксплуатацию (COD)|Вывод из эксплуатации
1|FUGEN ATR|HWLWR|PS|TSURUGA|148|165|5/10/1972|7/29/1978|3/20/1979|3/29/2003
2|FUKUSHIMA-DAIICHI-1|BWR|PS|OHKUMA-MACHI|439|460|7/25/1967|11/17/1970|3/26/1971|5/19/2011
3|FUKUSHIMA-DAIICHI-2|BWR|PS|OHKUMA-MACHI|760|784|6/9/1969|12/24/1973|7/18/1974|5/19/2011
4|FUKUSHIMA-DAIICHI-3|BWR|PS|OHKUMA-MACHI|760|784|12/28/1970|10/26/1974|3/27/1976|5/19/2011
5|FUKUSHIMA-DAIICHI-4|BWR|PS|OHKUMA-MACHI|760|784|2/12/1973|2/24/1978|10/12/1978|5/19/2011
6|FUKUSHIMA-DAIICHI-5|BWR|PS|OHKUMA-MACHI|760|784|5/22/1972|9/22/1977|4/18/1978|12/17/2013
7|FUKUSHIMA-DAIICHI-6|BWR|PS|OHKUMA-MACHI|1067|1100|10/26/1973|5/4/1979|10/24/1979|12/17/2013
8|FUKUSHIMA-DAINI-1|BWR|PS|NARAHA-MACHI|1067|1100|3/16/1976|7/31/1981|4/20/1982|30.09.2019
9|FUKUSHIMA-DAINI-2|BWR|PS|NARAHA-MACHI|1067|1100|3/25/1979|6/23/1983|2/3/1984|30.09.2019
10|FUKUSHIMA-DAINI-3|BWR|PS|NARAHA-MACHI|1067|1100|3/23/1981|12/14/1984|6/21/1985|30.09.2019
11|FUKUSHIMA-DAINI-4|BWR|PS|NARAHA-MACHI|1067|1100|5/28/1981|12/17/1986|8/25/1987|30.09.2019
12|GENKAI-1|PWR|PS|GENKAI-CHO|529|559|9/15/1971|2/14/1975|10/15/1975|4/27/2015
13|GENKAI-2|PWR|PS|GENKAI-CHO|529|559|2/1/1977|6/3/1980|3/30/1981|4/9/2019
14|GENKAI-3|PWR|OP|GENKAI-CHO|1127|1180|6/1/1988|6/15/1993|4/18/1994|--
15|GENKAI-4|PWR|OP|GENKAI-CHO|1127|1180|7/15/1992|11/12/1996|7/25/1997|--
16|HAMAOKA-1|BWR|PS|OMAEZAKI-SHI|515|540|6/10/1971|1/20/1987|3/17/1976|--
17|HAMAOKA-2|BWR|PS|OMAEZAKI-SHI|806|840|6/14/1974|1/27/1993|11/29/1978|--
18|HAMAOKA-3|BWR|OP|OMAEZAKI-SHI|1056|1100|6/10/1971|1/20/1987|3/17/1976|--
19|HAMAOKA-4|BWR|OP|OMAEZAKI-SHI|1092|1137|6/14/1974|1/27/1993|11/29/1978|--
20|HAMAOKA-5|BWR|OP|OMAEZAKI-SHI|1325|1380|7/12/2000|4/30/2004|1/18/2005|--
21|HIGASHI DORI-1 (TOHOKU)|BWR|OP|Higashidori-mura|1067|1100|11/7/2000|3/9/2005|12/8/2005|--
22|IKATA-1|PWR|PS|IKATA-CHO|538|566|9/1/1973|2/17/1977|9/30/1977|5/10/2016
23|IKATA-2|PWR|PS|IKATA-CHO|538|566|8/1/1978|8/19/1981|3/19/1982|5/23/2018
24|IKATA-3|PWR|OP|IKATA-CHO|846|890|10/1/1990|3/29/1994|12/15/1994|--
25|JPDR|BWR|PS|TOKAI-MURA|12|13|12/1/1960|10/26/1963|3/15/1965|3/18/1976
26|KASHIWAZAKI KARIWA-1|BWR|OP|KASHIWAZAKI-SHI|1067|1100|6/5/1980|2/13/1985|9/18/1985|--
27|KASHIWAZAKI KARIWA-2|BWR|OP|KASHIWAZAKI-SHI|1067|1100|11/18/1985|2/8/1990|9/28/1990|--
28|KASHIWAZAKI KARIWA-3|BWR|OP|KASHIWAZAKI-SHI|1067|1100|3/7/1989|12/8/1992|8/11/1993|--
29|KASHIWAZAKI KARIWA-4|BWR|OP|KASHIWAZAKI-SHI|1067|1100|3/5/1990|12/21/1993|8/11/1994|--
30|KASHIWAZAKI KARIWA-5|BWR|OP|KASHIWAZAKI-SHI|1067|1100|6/20/1985|9/12/1989|4/10/1990|--
31|KASHIWAZAKI KARIWA-6|BWR|OP|KASHIWAZAKI-SHI|1315|1356|11/3/1992|1/29/1996|11/7/1996|--
32|KASHIWAZAKI KARIWA-7|BWR|OP|KASHIWAZAKI-SHI|1315|1356|7/1/1993|12/17/1996|7/2/1997|--
33|MIHAMA-1|PWR|PS|MIHAMA|320|340|2/1/1967|8/8/1970|11/28/1970|4/27/2015
34|MIHAMA-2|PWR|PS|MIHAMA|470|500|5/29/1968|4/21/1972|7/25/1972|--
35|MIHAMA-3|PWR|OP|MIHAMA|780|826|8/7/1972|2/19/1976|12/1/1976|
36|MONJU|FBR|PS|TSURUGA|246|280|5/10/1986|8/29/1995|--|12/5/2017
37|OHI-1|PWR|PS|OHI|1120|1175|10/28/1972|12/23/1977|3/27/1979|3/1/2018
38|OHI-2|PWR|PS|OHI|1120|1175|12/8/1972|10/11/1978|12/5/1979|3/1/2018
39|OHI-3|PWR|OP|OHI|1127|1180|10/3/1987|6/7/1991|12/18/1991|--
40|OHI-4|PWR|OP|OHI|1127|1180|5/13/1988|6/19/1992|2/2/1993|--
41|OHMA|BWR|UC|OHMA|1328|1383|5/7/2010|--|--|--
42|ONAGAWA-1|BWR|PS|ONAGAWA, ISHINOMAKI|498|524|7/8/1980|11/18/1983|6/1/1984|12/21/2018
43|ONAGAWA-2|BWR|OP|ONAGAWA, ISHINOMAKI|796|825|4/12/1991|12/23/1994|7/28/1995|--
44|ONAGAWA-3|BWR|OP|ONAGAWA, ISHINOMAKI|796|825|1/23/1998|5/30/2001|1/30/2002|--
45|SENDAI-1|PWR|OP|SATSUMASENDAI|846|890|12/15/1979|9/16/1983|7/4/1984|--
46|SENDAI-2|PWR|OP|SATSUMASENDAI|846|890|10/12/1981|4/5/1985|11/28/1985|--
47|SHIKA-1|BWR|OP|SHIKA-MACHI|505|540|7/1/1989|1/12/1993|7/30/1993|--
48|SHIKA-2|BWR|OP|SHIKA-MACHI|1108|1206|8/20/2001|7/4/2005|3/15/2006|--
49|SHIMANE-1|BWR|PS|MATSUE|439|460|7/2/1970|12/2/1973|3/29/1974|30.04.2015
50|SHIMANE-2|BWR|OP|MATSUE|789|820|2/2/1985|7/11/1988|2/10/1989|--
51|SHIMANE-3|BWR|UC|MATSUE|1325|1373|10/12/2007|--|--|--
52|TAKAHAMA-1|PWR|OP|TAKAHAMA|780|826|4/25/1970|3/27/1974|11/14/1974|--
53|TAKAHAMA-2|PWR|OP|TAKAHAMA|780|826|3/9/1971|1/17/1975|11/14/1975|--
54|TAKAHAMA-3|PWR|OP|TAKAHAMA|830|870|12/12/1980|5/9/1984|1/17/1985|--
55|TAKAHAMA-4|PWR|OP|TAKAHAMA|830|870|3/19/1981|11/1/1984|6/5/1985|--
56|TOKAI-1|GCR|PS|TOKAI MURA|137|166|3/1/1961|11/10/1965|7/25/1966|3/31/1998
57|TOKAI-2|BWR|OP|TOKAI MURA|1060|1100|10/3/1973|3/13/1978|11/28/1978|--
58|TOMARI-1|PWR|OP|TOMARI VILLAGE|550|579|4/18/1985|12/6/1988|6/22/1989|--
59|TOMARI-2|PWR|OP|TOMARI VILLAGE|550|579|6/13/1985|8/27/1990|4/12/1991|--
60|TOMARI-3|PWR|OP|TOMARI VILLAGE|866|912|11/18/2004|3/20/2009|12/22/2009|--
61|TSURUGA-1|BWR|PS|TSURUGA CITY|340|357|11/24/1966|11/16/1969|3/10/1970|4/27/2015
62|TSURUGA-2|PWR|OP|TSURUGA CITY|1108|1160|11/6/1982|6/19/1986|2/7/1987|--
