Номер|Название трека|Длительность
1.0|Preludio|2:11
2.0|Titoli|3:11
3.0|Apparizione Di Ercole|1:49
4.0|Agguato & Battaglia|1:42
5.0|Nel Regno Di Lyco|1:55
6.0|Deianira Prigioniera Di Lyco|1:30
7.0|Pazzia Di Deianira|2:50
8.0|L'Oracolo|2:03
9.0|Lotta Di Ercole & Salpando Verso L'Ade|3:24
10.0|Risveglio Nell'Ade|1:46
11.0|La Mela D'Oro|2:58
12.0|Stratagemma Di Ercole & Il Mostro Di Pietra|2:49
13.0|Tortura & Distruzione Del Mostro|1:39
14.0|Ombre Dell'Ade|1:02
15.0|Precipizio Di Fiamme|1:35
16.0|Vento Infernale|2:15
17.0|Appesi Al Vuoto|3:45
18.0|Anima Perduta|2:38
19.0|In Mare & Tempesta|2:07
20.0|Arrivo Ad Ecalia|1:30
21.0|Ercole E Deianira (Tema D'Amore)|2:04
22.0|Oscuro Presagio & Uccisione Di Elettra|2:03
23.0|Il Potere Maligno Di Lyco|2:14
24.0|Deianira Contro Lyco & Amore Di Persefone|1:47
25.0|Risveglio Dei Morti Viventi|5:29
26.0|Ercole Contro Lyco|1:39
27.0|Ercole Contro I Morti Viventi & Il Ritorno|3:05
28.0|L'Amore Trionfa (Finale)|1:17
|Бонус-трек:|
29.0|Ercole Al Centro Della Terra (Intervallo Film)|0:19
