Год|Награда|Результат|Категория|Фильм
2019|XBIZ Europa Award|Победа|Лучшая новая старлетка[4][5]|н/д
2019|XBIZ Europa Award|Победа|Лучшая сцена секса — гламкор (вместе с Альберто Бланко и Джией Лиссой)[4][5]|Club VXN Vacation
2020|AVN Award|Номинация|Лучшая анальная сцена в иностранном фильме (вместе с Джоссом Лескафом)[9][10]|Joy Ride (из Blacked Raw V19)
2020|AVN Award|Номинация|Лучшая лесбийская сцена в иностранном фильме (вместе с Леной Рейф)[9][10]|Girl Crush
2020|AVN Award|Победа|Лучшая новая иностранная старлетка[1][6]|н/д
2020|AVN Award|Победа|Лучшая сцена секса парень/девушка в иностранном фильме (вместе с Рики Манчини)[1][6]|Liya 4 You
2020|Spank Bank Award|Номинация|Best Breasts[11]|н/д
2020|Spank Bank Award|Номинация|Most Photogenic Nymphomaniac[11]|н/д
2020|Spank Bank Award|Номинация|Tattooed Temptress of the Year[11]|н/д
2020|XBIZ Europa Award|Номинация|Исполнительница года[12]|н/д
2020|XBIZ Europa Award|Номинация|Лучшая сцена секса — гламкор (вместе с Рики Манчини)[12]|Stars 2
2020|XBIZ Europa Award|Номинация|Лучшая сцена секса — гонзо (вместе с Мануэлем Феррарой)[12]|Manuel’s Euro Tour: Paris
2020|XBIZ Europa Award|Номинация|Лучшая сцена секса — лесбийский фильм (вместе с Нэнси Эйс)[12]|Stunning Lesbians in Intense Action
2021|AVN Award|Номинация|Иностранная исполнительница года[13]|н/д
2021|AVN Award|Победа|Лучшая лесбийская сцена в иностранном фильме (вместе с Литтл Каприс)[7]|Tender Kiss Little Caprice & Liya Silver
2021|AVN Award|Номинация|Лучшая сцена группового секса в иностранном фильме (вместе с Дарреллом Дипсом, Джеком Рипфером и Джией Лиссой)[13]|Together
2021|AVN Award|Номинация|Лучшая сцена секса в виртуальной реальности (вместе с Кевином Уайтом)[13]|Liya Silver Fucks Photographer
2021|AVN Award|Победа|Лучшая сцена секса парень/девушка в иностранном фильме (вместе с Мануэлем Феррарой)[7]|Manuel’s Euro Tour: Paris
2021|XBIZ Europa Award|Номинация|Исполнительница года[14]|н/д
2021|XBIZ Europa Award|Номинация|Лучшая сцена секса — гламкор (вместе с Альберто Бланко)[14]|Apres Ski
2021|XBIZ Europa Award|Номинация|Лучшая сцена секса — лесбийский фильм (вместе с Клеа Готье и Литтл Каприс)[14]|Caprice Divas Fascinating
