Национальность|Доля(2002)[268]|Доля (2010)[268]
Русские|80,64 %|80,90 %
Татары|3,87 %|3,87 %
Украинцы|2,05 %|1,41 %
Башкиры|1,16 %|1,15 %
Чуваши|1,14 %|1,05 %
Чеченцы|0,95 %|1,04 %
Армяне|0,79 %|0,86 %
Аварцы|0,57 %|0,66 %
Мордва|0,59 %|0,54 %
Казахи|0,46 %|0,47 %
Азербайджанцы|0,43 %|0,44 %
Даргинцы|0,35 %|0,43 %
Удмурты|0,44 %|0,40 %
Марийцы|0,42 %|0,40 %
Осетины|0,36 %|0,39 %
Белорусы|0,56 %|0,38 %
Кабардинцы|0,36 %|0,38 %
Кумыки|0,29 %|0,37 %
Якуты|0,31 %|0,35 %
Лезгины|0,29 %|0,35 %
Буряты|0,31 %|0,34 %
Ингуши|0,29 %|0,32 %
другие|3,40 %|3,51 %
не указали национальную принадлежностьи лица, по которым сведения полученыиз административных источников, млн чел.|146|563
