Сезон|Турнир|Раунд|Соперник|Дома|В гостях|Общий счёт
2010/11|Лига чемпионов|ГруппаB|Лион|3–0|0–1|–
2010/11|Лига чемпионов|ГруппаB|Бенфика|2–0|2–1|–
2010/11|Лига чемпионов|ГруппаB|Хапоэль (Тель-Авив)|3–1|0–0|–
2010/11|Лига чемпионов|1/8 финала|Валенсия|3–1|1–1|4–2
2010/11|Лига чемпионов|Четвертьфинал|Интернационале|2–1|5–2|7–3
2010/11|Лига чемпионов|Полуфинал|Манчестер Юнайтед|0–2|1–4|1–6
2011/12|Лига Европы|4 кв. раунд|ХИК|6–1|0–2|6–3
2011/12|Лига Европы|ГруппаJ|АЕК (Ларнака)|0–0|5–0|–
2011/12|Лига Европы|ГруппаJ|Маккаби (Хайфа)|3–1|3–0|–
2011/12|Лига Европы|ГруппаJ|Стяуа|2–1|0–0|–
2011/12|Лига Европы|1/16 финала|Виктория (Пльзень)|3–1 (ОТ)|1–1|4–2
2011/12|Лига Европы|1/8 финала|Твенте|4–1|0–1|4–2
2011/12|Лига Европы|1/4 финала|Атлетик Бильбао|2–4|2–2|4–6
2012/13|Лига чемпионов|ГруппаB|Олимпиакос|2–1|1–0|–
2012/13|Лига чемпионов|ГруппаB|Монпелье|2–2|1–1|–
2012/13|Лига чемпионов|ГруппаB|Арсенал (Лондон)|2–0|2–2|–
2012/13|Лига чемпионов|1/8 финала|Галатасарай|2–3|1–1|3–4
2013/14|Лига чемпионов|Раундплей-офф|ПАОК|1–1|3–2|4–3
2013/14|Лига чемпионов|ГруппаE|Стяуа|3–0|0–0|–
2013/14|Лига чемпионов|ГруппаE|Базель|2–0|1–0|–
2013/14|Лига чемпионов|ГруппаE|Челси|0–3|0–3|–
2013/14|Лига чемпионов|1/8 финала|Реал Мадрид|1–6|1–3|2–9
2014/15|Лига чемпионов|ГруппаG|Челси|0–5|1–1|–
2014/15|Лига чемпионов|ГруппаG|Марибор|1–1|1–0|–
2014/15|Лига чемпионов|ГруппаG|Спортинг (Лиссабон)|4–3|2–4|–
2014/15|Лига чемпионов|1/8 финала|Реал Мадрид|0–2|4–3|4–5
2015/16|Лига Европы|ГруппаK|АПОЭЛ|1–0|3–0|–
2015/16|Лига Европы|ГруппаK|Астерас|4–0|4–0|–
2015/16|Лига Европы|ГруппаK|Спарта (Прага)|2–2|1–1|–
2015/16|Лига Европы|1/16 финала|Шахтер (Донецк)|0–0|0–3|0–3
2016/17|Лига Европы|ГруппаI|Ницца|2–0|1–0|–
2016/17|Лига Европы|ГруппаI|Ред Булл (Зальцбург)|3–1|0–2|–
2016/17|Лига Европы|ГруппаI|Краснодар|2–0|1–0|–
2016/17|Лига Европы|1/16 финала|ПАОК|3–0|1–1|4–1
2016/17|Лига Европы|1/8 финала|Боруссия (Мёнхенгладбах)|1–1|2–2|3–3
2016/17|Лига Европы|1/4 финала|Аякс|0–2|3–2 (ОТ)|3–4
2018/19|Лига чемпионов|ГруппаD|Порту|1–1|1–3|–
2018/19|Лига чемпионов|ГруппаD|Локомотив (Москва)|1–0|1–0|–
2018/19|Лига чемпионов|ГруппаD|Галатасарай|2–0|0–0|–
2018/19|Лига чемпионов|1/8 финала|Манчестер Сити|2–3|0–7|2–10
