Страна|Дата|Награда|Награда.1|Литеры
Португалия|9 марта 1996 — 9 марта 2006|Кавалер Тройного ордена как Президент Португалии|Кавалер Тройного ордена как Президент Португалии|
Португалия|9 марта 2006 —|Кавалер Большой цепи|Военного Ордена Башни и Меча, Доблести, Верности и Заслуг|GColTE
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер|Военного Ордена Башни и Меча, Доблести, Верности и Заслуг|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер ордена Христа|Гроссмейстер ордена Христа|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер ордена Святого Беннета Ависского|Гроссмейстер ордена Святого Беннета Ависского|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер Военного ордена Святого Якова и Меча|Гроссмейстер Военного ордена Святого Якова и Меча|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер|ордена Инфанта дона Энрике|
Португалия|3 августа 1983 —|Гранд-офицер|ордена Инфанта дона Энрике|GOIH
Португалия|9 марта 2006 —|Кавалер Большой цепи|ордена Свободы|GColL
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер|ордена Свободы|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер ордена Заслуг|Гроссмейстер ордена Заслуг|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер ордена Народного образования|Гроссмейстер ордена Народного образования|
Португалия|9 марта 1996 — 9 марта 2006|Гроссмейстер ордена Предпринимательских заслуг|Гроссмейстер ордена Предпринимательских заслуг|
