Год|Unnamed: 1|Русское название|Оригинальное название|Роль
2013|кор||Ruined|Джоди Данлап
2015|ф|1915 (англ.)русск.|1915|Гэбриэл
2015|ф|Призрак дома Бриар|The Unspoken|Эдриэн
2017|ф|Убийство священного оленя|The Killing of a Sacred Deer|Боб Мёрфи
2017|кор||Summer of 17|Санни
2018|ф|Не волнуйся, он далеко не уйдёт|Don't Worry, He Won't Get Far on Foot|Скейтбордист №2
2018|ф|Середина 90-х|Mid90s|Стиви
2018|ф|Тайна дома с часами|The House with a Clock in its Walls|Тарби Корриган
2020|ф|Рождественские хроники 2|The Christmas Chronicles 2|Даг Пирс в молодости
2021|ф|Северный Голливуд (англ.)русск.|North Hollywood|Кларк
