За год|Ном.|Фотографии лауреатов|Лауреаты и номинанты
2010|31-я||• Актёрский ансамбль — «Секс в большом городе 2»
2010|31-я||• Актёрский ансамбль — «Повелитель стихий»
2010|31-я||• Актёрский ансамбль — «Сумерки. Сага. Затмение»
2010|31-я||• Дженнифер Энистон и Джерард Батлер — «Охотник за головами»
2010|31-я||• Лицо Джоша Бролина и акцент Меган Фокс — «Джона Хекс»
2011|32-я||• Адам Сэндлер и Кэти Холмс или Адам Сэндлер и Аль Пачино — «Такие разные близнецы»
2011|32-я||• Николас Кейдж и любой актёр или актриса из трёх фильмов — «Сумасшедшая езда», «Время ведьм» и «Что скрывает ложь»
2011|32-я||• Шайа Лабаф и Роузи Хантингтон-Уайтли — «Трансформеры 3: Тёмная сторона Луны»
2011|32-я||• Адам Сэндлер, Дженнифер Энистон и Бруклин Деккер — «Притворись моей женой»
2011|32-я||• Кристен Стюарт, Тейлор Лотнер и Роберт Паттинсон — «Сумерки. Сага: Рассвет — Часть 1»
2012|33-я||• Маккензи Фой и Тейлор Лотнер — «Сумерки. Сага: Рассвет — Часть 2»
2012|33-я||• Любая комбинация персонажей из сериала «Пляж» в фильме «Три балбеса»
2012|33-я||• Роберт Паттинсон и Кристен Стюарт — «Сумерки. Сага: Рассвет — Часть 2»
2012|33-я||• Тайлер Перри и его женское «я» — «Программа защиты свидетелей Мэдеи»
2012|33-я||• Адам Сэндлер с Лейтон Мистер, или с Энди Сэмберг, либо с Сьюзен Сарандон в фильме «Папа-досвидос»
2013|34-я||• Джейден Смит и Уилл Смит на планете кумовства — «После нашей эры»
2013|34-я||• Весь актёрский состав фильма «Одноклассники 2»
2013|34-я||• Весь актёрский состав фильма «Муви 43»
2013|34-я||• Линдси Лохан и Чарли Шин — «Очень страшное кино 5»
2013|34-я||• Тайлер Перри и либо Ларри Кейбл Гай, либо изношенные парик и платье — «Рождество Мэдеи»
2014|35-я||• Кирк Кэмерон и его эго — «Спасти Рождество»
2014|35-я||• Любые два робота, актёра (или роботизированных актёра) — «Трансформеры: Эпоха истребления»
2014|35-я||• Камерон Диас и Джейсон Сигел — «Домашнее видео: Только для взрослых»
2014|35-я||• Келлан Латс и его мышцы живота, или мышцы груди, или его ягодицы — «Геракл: Начало легенды»
2014|35-я||• Сет Макфарлейн и Шарлиз Терон — «Миллион способов потерять голову»
2015|36-я||• Джейми Дорнан и Дакота Джонсон — «Пятьдесят оттенков серого»
2015|36-я||• Вся четвёрка «Fantastics» — «Фантастическая четвёрка»
2015|36-я||• Джонни Депп и его приклеенные усы — «Мордекай»
2015|36-я||• Кевин Джеймс и либо его Сегвей, либо его приклеенные усы — «Толстяк против всех»
2015|36-я||• Адам Сэндлер и любая пара его ботинок — «Сапожник»
2016|37-я||• Бен Аффлек и его худший враг в истории Генри Кавилл — «Бэтмен против Супермена: На заре справедливости»
2016|37-я||• Любые два египетских бога или смертных — «Боги Египта»
2016|37-я||• Джонни Депп и его тошнотворно яркий костюм — «Алиса в Зазеркалье»
2016|37-я||• Весь состав когда-то уважаемых актёров — «Призрачная красота»
2016|37-я||• Тайлер Перри и всё тот же затасканный парик — «Хеллоуин Мэдеи»
2016|37-я||• Бен Стиллер и его еле-еле смешной друг Оуэн Уилсон — «Образцовый самец № 2»
2017|38-я||• Любые два надоедливых эмоджи — «Эмоджи фильм»
2017|38-я||• Любая комбинация из двух персонажей, двух секс-игрушек или двух сексуальных позиций — «На пятьдесят оттенков темнее»
2017|38-я||• Джонни Депп и его вымученный образ пьяницы — «Пираты Карибского моря: Мертвецы не рассказывают сказки»
2017|38-я||• Любая комбинация двух человек, двух роботов или двух взрывов — «Трансформеры: Последний рыцарь»
2017|38-я||• Тайлер Перри и либо старое платье, либо изношенный парик — «Хэллоуин Мэдеи 2»
2018|39-я||• Дональд Трамп и его нескончаемая мелочность — «Смерть нации» (англ.) и «Фаренгейт 11/9»
2018|39-я||• любые два актёра или куклы (особенно в тех жутких сексуальных сценах) — «Игрушки для взрослых»
2018|39-я||• Джонни Депп и его быстро угасающая карьера — «Шерлок Гномс»
2018|39-я||• Уилл Феррелл и Джон Си Райли (уничтожившие двух самых любимых литературных персонажей) — «Холмс & Ватсон»
2018|39-я||• Келли Престон и Джон Траволта (обзоры на уровне фильма «Поле битвы: Земля») — «Кодекс Готти»
2019|40-я||• Два любых полукошачьих-получеловечьих комочка шерсти — «Кошки»
2019|40-я||• Джейсон Деруло и его удалённая с помощью CGI выпуклость — «Кошки»
2019|40-я||• Тайлер Перри и Тайлер Перри (или Тайлер Перри) — «Мэдея на похоронах»
2019|40-я||• Сильвестр Сталлоне и его бессильная ярость — «Рэмбо: Последняя кровь»
2019|40-я||• Джон Траволта и любой сценарий, на который он соглашается
