Крупнейшие города и населённые пункты|Население (2007)|Координаты
Окленд|1 294 000|36°50′48″ ю. ш. 174°45′54″ в. д.HGЯO
Веллингтон|379 000|41°17′11″ ю. ш. 174°46′34″ в. д.HGЯO
Крайстчерч|378 700|43°31′53″ ю. ш. 172°38′11″ в. д.HGЯO
Гамильтон|163 900|37°47′13″ ю. ш. 175°16′58″ в. д.HGЯO
Данидин|114 600|45°52′28″ ю. ш. 170°30′12″ в. д.HGЯO
Тауранга|114 200|37°41′03″ ю. ш. 176°10′12″ в. д.HGЯO
Палмерстон-Норт|78 800|40°21′20″ ю. ш. 175°36′43″ в. д.HGЯO
Хейстингс|64 600|39°38′36″ ю. ш. 176°50′35″ в. д.HGЯO
Нельсон|58 300|41°16′14″ ю. ш. 173°17′02″ в. д.HGЯO
Нейпир|57 900|39°29′11″ ю. ш. 176°54′58″ в. д.HGЯO
Роторуа|55 500|38°07′49″ ю. ш. 176°15′01″ в. д.HGЯO
Нью-Плимут|51 000|39°03′28″ ю. ш. 174°04′35″ в. д.HGЯO
Фангареи|50 900|35°43′22″ ю. ш. 174°19′21″ в. д.HGЯO
Инверкаргилл|47 900|46°24′47″ ю. ш. 168°21′24″ в. д.HGЯO
Уонгануи|39 800|39°55′49″ ю. ш. 175°02′51″ в. д.HGЯO
Гисборн|33 600|38°39′58″ ю. ш. 178°01′33″ в. д.HGЯO
