Место|Название|Автор|Автор
Место|Название|Unnamed: 2_level_1|Unnamed: 3_level_1
имя|гражданство||
1|Под игом|Иван Вазов|
2|Время раздельное|Антон Дончев|
3|Табак|Димитр Димов|
4|Железный светильник|Димитр Талев|
5|Маленький принц|Антуан де Сент-Экзюпери|
6|Мастер и Маргарита|Михаил Булгаков|
7|Властелин колец|Джон Толкин|
8|Осуждённые души|Димитр Димов|
9|К востоку от рая|Джон Стейнбек|
10|Граф Монте-Кристо|Александр Дюма|
11|Автостопом по галактике|Дуглас Адамс|
12|Сто лет одиночества|Габриэль Маркес|
