Продукт|Белок|Метионин|.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}М/Б
Свинина сырая|21,26 г|0 554 мг|2,6 %
Сырое куриное филе|21,23 г|0 552 мг|2,6 %
Сырое филе лосося|20,42 г|0 626 мг|3,1 %
Куриное яйцо|12,57 г|0 380 мг|3,0 %
Коровье молоко, 3,7 % жирности|0 3,28 г|0 0 82 мг|2,5 %
Кунжут|17,73 г|0 586 мг|3,3 %
Бразильский орех|14,32 г|1008 мг|7,0 %
Грецкие орехи|15,23 г|0 236 мг|1,5 %
Мука пшеничная г/п|13,70 г|0 212 мг|1,5 %
Кукурузная мука|0 6,93 г|0 145 мг|2,1 %
Рис неочищенный|0 7,94 г|0 179 мг|2,3 %
Соя высушенная|36,49 г|0 547 мг|1,5 %
Горох цельный лущенный|24,55 г|0 251 мг|1,0 %
