№|Реслер|Чемпионских титулов|Количество дней владения титулом
1|Beer Money, Inc.(Роберт Руд и Джеймс Шторм)|4|466
2|"""The Wolves""(Эдди Эдвардс и Дэйви Ричардс)"|4|298+
3|Christian's Coalition(Эй Джей Стайлз и Томко)|1|184
4|The Motor City Machine Guns(Алекс Шелли и Крис Сейбин)|1|182
4|The BroMans(Робби И и Джеси Годдерз)|2|182
6|Чаво Герреро и Эрнандес|2|155
7|Ганер и Джеймс Шторм|1|140
8|The World Tag Team Champions of the World(Кристофер Дениелс и Казариан)|2|136
9|Революция(Абисс и Джеймс Шторм|1|133
10|Team 3D(Булли Рей и Дивон)|2|123
11|Mexican America(Мэтт Барелла и Эрнандес|1|97
12|The Main Event Mafia(Букер Ти и Скот Штайнер)|1|91
12|The British Invasion(Магнус и Дуглас Вильямс)|1|91
12|The Latin American Xchange(Эрнандес и Хомисайд)|1|91
12|Магнус и Самоа Джо|1|91
16|Кримсон и Мэтт Морган|1|90
17|Эрнандес и Мэтт Морган|1|78
18|Бобби Руд и Остин Эйрис|1|76
19|The Hardy Boyz(Мэтт Харди и Джефф Харди)|1|54
20|The Band(Эрик Янг, Кевин Нэш, Скотт Холл)|1|41
21|Team Pacman(Адам Джонс и Рон Килингс)|1|35
22|Мэтт Морган|1|29
23|Самоа Джо|1|28
24|Ксавьер Вудс и Джей Литал|1|26
25|Эй Джей Стайлз и Курт Энгл|1|18
26|Курт Энгл|1|15
27|Курт Энгл и Стинг|1|13
