Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции|Матчи и голы Златана Ибрагимовича за сборную Швеции
№|Дата|Место проведения|Соперник|Счёт|Голы|Соревнование
1|31 января 2001|Векшё|Фарерские острова|0:0|-|Чемпионат Северной Европы
2|1 февраля 2001|Йёнчёпинг|Финляндия|0:1|-|Чемпионат Северной Европы
3|25 апреля 2001|Женева|Швейцария|2:0|-|Товарищеский матч
4|7 октября 2001|Стокгольм|Азербайджан|3:0|1|Отборочные матчи ЧМ-2002
5|10 ноября 2001|Манчестер|Англия|1:1|-|Товарищеский матч
6|13 февраля 2002|Салоники|Греция|2:2|-|Товарищеский матч
7|27 марта 2002|Мальмё|Швейцария|1:1|-|Товарищеский матч
8|17 апреля 2002|Осло|Норвегия|0:0|-|Товарищеский матч
9|17 мая 2002|Стокгольм|Парагвай|1:2|-|Товарищеский матч
10|25 мая 2002|Токио|Япония|1:1|-|Товарищеский матч
11|12 июня 2002|Мияги|Аргентина|0:1|-|Финальные матчи ЧМ-2002
12|16 июня 2002|Оита|Сенегал|1:2|-|Финальные матчи ЧМ-2002
13|21 августа 2002|Москва|Россия|1:1|1|Товарищеский матч
14|7 сентября 2002|Рига|Латвия|0:0|-|Отборочные матчи ЧЕ-2004
15|12 октября 2002|Стокгольм|Венгрия|1:1|1|Отборочные матчи ЧЕ-2004
16|30 апреля 2003|Стокгольм|Хорватия|1:2|1|Товарищеский матч
17|6 сентября 2003|Гётеборг|Сан-Марино|5:0|2|Отборочные матчи ЧЕ-2004
18|10 сентября 2003|Хожув|Польша|2:0|-|Отборочные матчи ЧЕ-2004
19|11 октября 2003|Стокгольм|Латвия|0:1|-|Отборочные матчи ЧЕ-2004
20|31 марта 2004|Гётеборг|Англия|1:0|1|Товарищеский матч
21|28 апреля 2004|Коимбра|Португалия|2:2|-|Товарищеский матч
22|28 мая 2004|Тампере|Финляндия|3:1|-|Товарищеский матч
23|5 июня 2004|Стокгольм|Польша|3:1|-|Товарищеский матч
24|14 июня 2004|Лиссабон|Болгария|5:0|1|Финальные матчи ЧЕ-2004
25|18 июня 2004|Порту|Италия|1:1|1|Финальные матчи ЧЕ-2004
26|22 июня 2004|Порту|Дания|2:2|-|Финальные матчи ЧЕ-2004
27|26 июня 2004|Фару|Нидерланды|0:0|-|Финальные матчи ЧЕ-2004
28|18 августа 2004|Стокгольм|Нидерланды|2:2|1|Товарищеский матч
29|4 сентября 2004|Та'Кали|Мальта|7:0|4|Отборочные матчи ЧМ-2006
30|8 сентября 2004|Гётеборг|Хорватия|0:1|-|Отборочные матчи ЧМ-2006
31|13 октября 2004|Рейкьявик|Исландия|4:1|-|Отборочные матчи ЧМ-2006
32|26 марта 2005|София|Болгария|3:0|-|Отборочные матчи ЧМ-2006
33|4 июня 2005|Гётеборг|Мальта|6:0|1|Отборочные матчи ЧМ-2006
34|3 сентября 2005|Стокгольм|Болгария|3:0|1|Отборочные матчи ЧМ-2006
35|7 сентября 2005|Будапешт|Венгрия|1:0|1|Отборочные матчи ЧМ-2006
36|12 октября 2005|Стокгольм|Исландия|3:1|1|Отборочные матчи ЧМ-2006
37|1 марта 2006|Дублин|Ирландия|0:3|-|Товарищеский матч
38|2 июня 2006|Стокгольм|Чили|1:1|-|Товарищеский матч
39|10 июня 2006|Дортмунд|Тринидад и Тобаго|0:0|-|Финальные матчи ЧМ-2006
40|15 июня 2006|Берлин|Парагвай|1:0|-|Финальные матчи ЧМ-2006
41|26 июня 2006|Мюнхен|Германия|0:2|-|Финальные матчи ЧМ-2006
42|2 сентября 2006|Рига|Латвия|1:0|-|Отборочные матчи ЧЕ-2008
43|28 марта 2007|Белфаст|Северная Ирландия|1:2|-|Отборочные матчи ЧЕ-2008
44|6 июня 2007|Стокгольм|Исландия|5:0|-|Отборочные матчи ЧЕ-2008
45|22 августа 2007|Гётеборг|США|1:0|-|Товарищеский матч
46|8 сентября 2007|Стокгольм|Дания|0:0|-|Отборочные матчи ЧЕ-2008
47|17 октября 2007|Стокгольм|Северная Ирландия|0:0|-|Отборочные матчи ЧЕ-2008
48|17 ноября 2007|Мадрид|Испания|0:3|-|Отборочные матчи ЧЕ-2008
49|27 ноября 2007|Стокгольм|Латвия|2:1|-|Отборочные матчи ЧЕ-2008
50|1 июня 2008|Стокгольм|Украина|0:1|-|Товарищеский матч
51|10 июня 2008|Зальцбург|Греция|2:0|1|Финальные матчи ЧЕ-2008
52|14 июня 2008|Инсбрук|Испания|1:2|1|Финальные матчи ЧЕ-2008
53|18 июня 2008|Инсбрук|Россия|0:2|-|Финальные матчи ЧЕ-2008
54|6 сентября 2008|Тирана|Албания|0:0|-|Отборочные матчи ЧМ-2010
55|10 сентября 2008|Стокгольм|Венгрия|2:1|1|Отборочные матчи ЧМ-2010
56|11 октября 2008|Стокгольм|Португалия|0:0|-|Отборочные матчи ЧМ-2010
57|6 июня 2009|Стокгольм|Дания|0:1|-|Отборочные матчи ЧМ-2010
58|10 июня 2009|Гётеборг|Мальта|4:0|1|Отборочные матчи ЧМ-2010
59|5 сентября 2009|Будапешт|Венгрия|2:1|1|Отборочные матчи ЧМ-2010
60|9 сентября 2009|Валлетта|Мальта|1:0|-|Отборочные матчи ЧМ-2010
61|10 октября 2009|Копенгаген|Дания|0:1|-|Отборочные матчи ЧМ-2010
62|14 октября 2009|Стокгольм|Албания|4:1|-|Отборочные матчи ЧМ-2010
63|11 августа 2010|Стокгольм|Шотландия|3:0|1|Товарищеский матч
64|3 сентября 2010|Стокгольм|Венгрия|2:0|-|Отборочные матчи ЧЕ-2012
65|7 сентября 2010|Мальмё|Сан-Марино|6:0|2|Отборочные матчи ЧЕ-2012
66|12 октября 2010|Амстердам|Нидерланды|1:4|-|Отборочные матчи ЧЕ-2012
67|9 января 2011|Никосия|Украина|1:1|-|Товарищеский матч
68|29 марта 2011|Стокгольм|Молдавия|2:1|-|Отборочные матчи ЧЕ-2012
69|7 июня 2011|Стокгольм|Финляндия|5:0|3|Отборочные матчи ЧЕ-2012
70|2 сентября 2011|Будапешт|Венгрия|1:2|-|Отборочные матчи ЧЕ-2012
71|6 сентября 2011|Серравалле|Сан-Марино|5:0|-|Отборочные матчи ЧЕ-2012
72|7 октября 2011|Хельсинки|Финляндия|2:1|-|Отборочные матчи ЧЕ-2012
73|11 ноября 2011|Копенгаген|Дания|0:2|-|Товарищеский матч
74|15 ноября 2011|Лондон|Англия|0:1|-|Товарищеский матч
75|29 февраля 2012|Загреб|Хорватия|3:1|1|Товарищеский матч
76|30 мая 2012|Гётеборг|Исландия|3:2|1|Товарищеский матч
77|5 июня 2012|Стокгольм|Сербия|2:1|1|Товарищеский матч
78|11 июня 2012|Киев|Украина|1:2|1|Финальные матчи ЧЕ-2012
79|15 июня 2012|Киев|Англия|2:3|-|Финальные матчи ЧЕ-2012
80|19 июня 2012|Киев|Франция|2:0|1|Финальные матчи ЧЕ-2012
81|6 сентября 2012|Хельсингборг|Китай|1:0|-|Товарищеский матч
82|11 сентября 2012|Мальмё|Казахстан|2:0|-|Отборочные матчи ЧМ-2014
83|12 октября 2012|Торсхавн|Фарерские острова|2:1|1|Отборочные матчи ЧМ-2014
84|16 октября 2012|Берлин|Германия|4:4|1|Отборочные матчи ЧМ-2014
85|14 ноября 2012|Стокгольм|Англия|4:2|4|Товарищеский матч
86|6 февраля 2013|Стокгольм|Аргентина|2:3|-|Товарищеский матч
87|22 марта 2013|Стокгольм|Ирландия|0:0|-|Отборочные матчи ЧМ-2014
88|3 июня 2013|Мальмё|Северная Македония|0:1|-|Товарищеский матч
89|6 июня 2013|Вена|Австрия|1:5|-|Отборочные матчи ЧМ-2014
90|11 июня 2013|Стокгольм|Фарерские острова|2:0|2|Отборочные матчи ЧМ-2014
91|14 августа 2013|Стокгольм|Норвегия|4:2|3|Товарищеский матч
92|6 сентября 2013|Дублин|Ирландия|2:1|-|Отборочные матчи ЧМ-2014
93|10 сентября 2013|Астана|Казахстан|1:0|1|Отборочные матчи ЧМ-2014
94|11 октября 2013|Стокгольм|Австрия|2:1|1|Отборочные матчи ЧМ-2014
95|15 ноября 2013|Лиссабон|Португалия|0:1|-|Стыковые матчи ЧМ-2014
96|19 ноября 2013|Стокгольм|Португалия|2:3|2|Стыковые матчи ЧМ-2014
97|5 марта 2014|Анкара|Турция|1:2|-|Товарищеский матч
98|28 мая 2014|Копенгаген|Дания|0:1|-|Товарищеский матч
99|4 сентября 2014|Стокгольм|Эстония|2:0|2|Товарищеский матч
100|8 сентября 2014|Вена|Австрия|1:1|-|Отборочные матчи ЧЕ-2016
101|15 ноября 2014|Подгорица|Черногория|1:1|1|Отборочные матчи ЧЕ-2016
102|28 марта 2015|Кишинев|Молдавия|2:0|2|Отборочные матчи ЧЕ-2016
103|31 марта 2015|Стокгольм|Иран|3:1|1|Товарищеский матч
104|8 июня 2015|Осло|Норвегия|0:0|-|Товарищеский матч
105|14 июня 2015|Стокгольм|Черногория|3:1|2|Отборочные матчи ЧЕ-2016
106|5 сентября 2015|Москва|Россия|0:1|-|Отборочные матчи ЧЕ-2016
107|8 сентября 2015|Стокгольм|Австрия|1:4|1|Отборочные матчи ЧЕ-2016
108|9 октября 2015|Вадуц|Лихтенштейн|2:0|1|Отборочные матчи ЧЕ-2016
109|12 октября 2015|Стокгольм|Молдавия|2:0|1|Отборочные матчи ЧЕ-2016
110|14 ноября 2015|Стокгольм|Дания|2:1|1|Стыковые матчи ЧЕ-2016
111|17 ноября 2015|Копенгаген|Дания|2:2|2|Стыковые матчи ЧЕ-2016
112|29 марта 2016|Стокгольм|Чехия|1:1|-|Товарищеский матч
