0|1|2|3
Весовая категория|Золото|Серебро|Бронза
до 52 кг|Схатбий АльхаовМайкоп|Алексей ЕгоровЕкатеринбург|Артур СаакянАрмавир Рустам МухаметдиновБашкортостан
до 57 кг|Александр ПаньковКраснокамск|Михаил ПаньковКраснокамск|Тимур ГаллямовВерхняя Пышма Николай ОжегинУрай
до 62 кг|Денис МухинВыкса|Максим СимановНижний Новгород|Вардан АрутюнянЕкатеринбург Рустам ОхтовКарачаево-Черкесия
до 68 кг|Александр КарахановПермская область|Сергей ШибановВыкса|Николай МенщиковВерхняя Пышма Виктор КрестьяниновОмск
до 74 кг|Руслан СазоновМосква|Михаил МартыновМосква|Сергей ЖарковВыкса Заур ШхафижевМайкоп
до 82 кг|Алексей ХаритоновЗаречный|Раис РахматуллинНижний Новгород|Павел ШкаповКстово Павел АстаповВерхняя Пышма
до 90 кг|Аслан УнашхотловНальчик|Виктор СтороженкоВладивосток|Игорь КуриннойМосква Альсим ЧерноскуловВерхняя Пышма
до 100 кг|Юрий АликинПермь|Сергей СмирновМосква|Артур ОвасопянАрмавир Сергей АлехановКазань
свыше 100 кг|Мурат ХасановМайкоп|Адам ДелокМайкоп|Михаил КоробейниковМосква Михаил СтарковЕкатеринбург
