Год|Объём экспорта товаров и услуг, млрд долл. США|Абсолютный прирост, млрд долл. США*|Темпы роста, %*|Темпы прироста, %*
2002|27737|-3376|989|-11
2003|33084|5347|1019|19
2004|39267|6183|1019|19
2005|46198|6931|1018|18
2006|53550|7352|1016|16
2007|65162|11612|1022|22
2008|79763|14601|1022|22
2009|65133|-14630|982|-18
2010|80209|15076|1023|23
2011|97811|17602|1022|22
2012|88656|-9155|991|-9
2013|33084|5347|1019|19
2014|75819|-4871|994|-6
2015|63672|-12147|984|-16
2016|69823|6151|1010|10
2017|71275|1452|1002|2
